PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Adăugați un canal",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Adăugați un membru",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Audio",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Nicio componentă audio, ecou, zgomot...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"Conversația suna nefiresc sau distorsionat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"Apelul s-a încheiat în mod neașteptat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Am auzit un ecou în timpul apelului  ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Apelul s-a tot întrerupt",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Nu am putut invita pe altcineva la apel",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Volumul era scăzut",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Nu am putut auzi niciun sunet",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Interlocutorul nu a auzit niciun sunet ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Am auzit zgomote în timpul apelului",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Celelalte persoane au avut probleme când s-au alăturat apelului",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Feedback privind apelul",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Evaluarea apelului",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d stea",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Stea de evaluare",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"%1$d stele",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,"Grupul %1$s a fost restrâns",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,"Grupul %1$s a fost extins",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"Grupul %1$s selectat pentru feedback",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"Grupul %1$s neselectat pentru feedback",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Prezentare",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No presentation, kept freezing, large delay...",,"Nicio prezentare, se tot bloca, întârziere mare...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t see any presented content",,"Nu am putut vedea conținutul prezentat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"There was a large delay in the presented content",,"A existat o întârziere mare în timpul conținutului prezentat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presented content kept freezing",,"Conținutul prezentat se tot bloca",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The image quality of the presented content was poor",,"Calitatea imaginii din conținutul prezentat a fost slabă",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presentation stopped unexpectedly",,"Prezentarea s-a oprit în mod neașteptat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Link not supported.You can not open this link on the mobile app.Please open it on the desktop or web app.",,"Link neacceptat. Nu puteți deschide acest link pe aplicația mobilă. Deschideți-l în aplicația desktop sau web.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is restored!",,"Chatul este restabilit!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Select number",,"Selectați numărul",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is hidden!",,"Chatul este ascuns!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video",,"Video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Video, poor quality, video stopped...",,"Nicio componentă video, calitate slabă, componenta video s-a oprit...",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video kept freezing",,"Componenta video se tot bloca",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Image quality was poor",,"Calitatea imaginii a fost slabă",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video was ahead or behind audio",,"Componenta video apărea înainte sau după cea audio",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not see any video",,"Nu am putut vedea componenta video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t see my video",,"Interlocutorul nu a putut vedea componenta mea video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side was too dark",,"Imaginea interlocutorului era prea întunecată",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video stopped unexpectedly",,"Componenta video s-a oprit în mod neașteptat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Close",,"Închideți",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Hang up",,"Închideți",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"go to next slide",,"treceți la diapozitivul următor",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"go to previous slide",,"treceți la diapozitivul anterior",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Backspace",,"Backspace",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Answered",,"Apel preluat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Collapse call bar to hide call list",,"Restrângeți bara de apeluri pentru a ascunde lista de apeluri",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"End on-hold call",,"Încheiați apelul în așteptare",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Swap call",,"Comutați apelul",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Expand call bar to see on-hold calls",,"Extindeți bara de apeluri pentru a vedea apelurile în așteptare",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call",,"Apelați",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Muted",,"Sunet dezactivat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call on hold icon",,"Pictograma Apel în așteptare",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Unmuted",,"Sunet activat",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your video is off",,"Componenta video este dezactivată",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Your video is on",,"Componenta video este activată",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Dial pad",,"Tastatură",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Enter phone number",,"Introduceți numărul de telefon",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Pause",,"Întrerupeți",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Plus",,"Plus",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Wait",,"Așteptați",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Conference Call Answered",,"A răspuns la conferința prin telefon",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call user avatar",,"Avatarul utilizatorului apelului primit",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Incoming call icon",,"Pictograma pentru apel primit",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Joining Meeting",,"Se alătură la întâlnire",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Phone call answer",,"Răspuns la apelul telefonic",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Send message",,"Trimiteți un mesaj",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rotate camera",,"Rotiți camera",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call me back button. Double tap to call me back.",,"Butonul Apelează-mă înapoi. Atingeți de două ori pentru a mă apela înapoi.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Dial me in button. Double tap to dial me in.",,"Butonul Dial-in. Atingeți de două ori pentru dial-in.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rejoin button. Double tap to rejoin.",,"Butonul Alăturați-vă din nou. Atingeți de două ori pentru a vă alătura din nou.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Resume button. Double tap to resume call.",,"Butonul Reluați. Atingeți de două ori pentru a relua apelul.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Toggle flashlight",,"Activați/Dezactivați lanterna",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Turn your video off",,"Dezactivați componenta video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Turn your video on",,"Activați componenta video",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
