PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Ups, pagina se afișează din cauza semnalizatorului de depanare",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Dăăă! Ceva nu a funcționat corect...",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"Aplicația a fost actualizată cu succes la versiunea {0} pe {1}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"Aplicația a fost actualizată",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Nu ne-am putut conecta la Furnizorul de cont. Verificați conexiunea și încercați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Acreditări neașteptate de utilizator. Încercați să vă conectați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Simbolul primit nu este valid. Încercați din nou mai târziu.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Autentificarea nu a putut fi finalizată din cauza unei probleme cu starea aplicației. Încercați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Eroare de autentificare",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"A fost primit un simbol de autentificare expirat. Încercați să vă conectați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Eroare de autentificare intenționată din cauza setării de utilizator.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"Aplicației îi lipsesc câteva setări importante de autentificare. Asigurați-vă că utilizați ultima versiune.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"Furnizorul contului a întâmpinat o eroare la autentificare.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your connection is not reliable enough to authenticate. Please check your connection including any VPNs and try again.",,"Conexiunea dumneavoastră nu este suficient de fiabilă pentru autentificare. Verificați conexiunea, inclusiv VPN-urile, și încercați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Requested a silent authentication token, but prompt is required. Please try to log in again.",,"A fost solicitat un simbol pentru autentificare privată, dar este necesară o solicitare. Încercați să vă conectați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an issue while the app was resuming. Please try again.",,"Autentificarea nu a putut fi finalizată din cauza unei probleme în timp ce aplicația a început să ruleze iar. Încercați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication request was canceled. Please try to log in again.",,"Cererea de autentificare a fost anulată. Încercați să vă conectați din nou.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Web Account Manager failed to authenticate.",,"Managerul de conturi web nu a reușit să se autentifice.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication was blocked by Windows Information Protection policy. For more information, contact your system administrator.",,"Autentificarea a fost blocată de politica Windows Information Protection. Pentru mai multe informații, contactați-vă administratorul de sistem.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications being displayed only when the call is active (focused).",,"Este necesară activitatea de fundal pentru a primi notificările despre apeluri și mesaje instant. Respingerea aceste solicitări va duce la afișarea notificărilor numai atunci când un apel este activ (focalizat).",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications not being displayed when the device is low on battery.",,"Este necesară activitatea de fundal pentru a primi notificările despre apeluri și mesaje instant. Respingerea aceste solicitări va duce la neafișarea notificărilor atunci când bateria telefonului se descarcă.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"For the best experience, please allow Microsoft Teams to run as a background app. Click here to toggle this setting on.",,"Pentru o experiență optimă, permiteți Microsoft Teams să ruleze ca aplicație în fundal. Dați clic aici pentru a activa această setare.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We need your help.",,"Avem nevoie de ajutorul dumneavoastră.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We're running into some issues running in the background. Click here to restart the app.",,"Întâmpinăm niște probleme care rulează în fundal. Dați clic aici pentru a reporni aplicația.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We ran into a problem.",,"Am întâmpinat o problemă.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub for Dev",,"Microsoft Teams pentru Surface Hub pentru dezvoltatori",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 for Dev",,"Microsoft Teams pentru Surface Hub V2 pentru dezvoltatori",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (Dev)",,"Microsoft Teams pentru Surface Hub (dezvoltatori)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 (Dev)",,"Microsoft Teams pentru Surface Hub V2 (dezvoltatori)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Devspaces",,"Microsoft Teams pentru Devspaces",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (Devspaces)",,"Microsoft Teams (Devspaces)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Windows 10 S (Alpha)",,"Microsoft Teams pentru Windows 10 S (Alpha)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (Dogfood)",,"Microsoft Teams pentru Surface Hub (produs pentru uz intern)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
