PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Data from {0}",,"Datele de la {0}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Delayed 15 minutes.",,"Amânate 15 minute.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"More details",,"Mai multe detalii",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"News",,"Știri",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"No results found.",,"Niciun rezultat găsit.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"After hours",,"În afara orelor de lucru",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Percentage change",,"Modificare procentuală",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Price change",,"Modificare a prețului",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"When",,"Când",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""<a href=""https://go.microsoft.com/fwlink/?linkid=849660"">Image may be subject to copyright</a>"",,""<a href=""https://go.microsoft.com/fwlink/?linkid=849660"">Imaginea poate fi protejată de drepturi de autor</a>"",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Image",,"Imagine",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""<a href=""{0}"">View original</a>"",,""<a href=""{0}"">Vedeți originalul</a>"",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Sorry, we couldn't find anything matching your search term.",,"Ne pare rău, nu am găsit niciun rezultat care să se potrivească termenului de căutare.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Information from {0}",,"Informații de la {0}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Bing Maps",,"Hărți Bing",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Confirm location",,"Confirmați locația",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Daily",,"Zilnic",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"{0} to {1}",,"De {0} până {1}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Directions",,"Indicații de orientare",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Hotel",,"Hotel",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Enter a search term (a business name, landmark, zip code, or city) to get more info",,"Introduceți un termen de căutare (numele unei companii, un reper, un cod poștal sau un oraș) pentru a primi mai multe informații",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Local business",,"Afaceri locale",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Map of {0}",,"Harta orașului {0}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Open 24 hours",,"Deschis non-stop",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Open 24 hours a day",,"Deschis 24 de ore pe zi",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Permanently closed",,"Închis definitiv",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Restaurant",,"Restaurant",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"({0} reviews)",,"({0} recenzii)",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"(1 review)",,"(1 recenzie)",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"{0}–{1}",,"{0}–{1}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Tourist attraction",,"Atracție turistică",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Go to website",,"Accesați site-ul web",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"°C",,"°C",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"°F",,"°F",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Feels like",,"Se simte ca",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"High / Low temperature",,"Temperatură ridicată/scăzută",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Humidity",,"Umiditate",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Sorry, we couldn't find a forecast for that location.",,"Ne pare rău, nu am găsit prognoza meteo pentru acea locație.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Chance of precipitation",,"Șansă de precipitații",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Wind",,"Vânt",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"LIVE",,"LIVE",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"views",,"vizionări",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"watching",,"vizionează",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Places",,"Locații",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Use this location",,"Utilizați această locație",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"We need your location in order to provide accurate results. Use the location we've obtained automatically, or manually set it.",,"Avem nevoie de locația dumneavoastră pentru a vă oferi rezultate precise. Utilizați locația pe care ați obținut-o automat sau setați-o manual.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""Note: We store your location to improve queries, subject to our <a href=""https://go.microsoft.com/fwlink/?linkid=862522"" target=""_blank"">Privacy Policy</a> and <a href=""https://go.microsoft.com/fwlink/?linkid=862521"" target=""_blank"">Terms of Use</a>."",,""Notă: vă stocăm locația pentru a îmbunătăți interogările, care se supun <a href=""https://go.microsoft.com/fwlink/?linkid=862522"" target=""_blank"">Angajamentului de respectare a confidențialității</a> și <a href=""https://go.microsoft.com/fwlink/?linkid=862521"" target=""_blank"">Termenilor de utilizare</a>."",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Location",,"Locație",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Third party notices",,"Notificări de la terți",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Configure Places",,"Configurați locațiile",,"Text",,"All",,"Skype Spaces for Web 2016",,""
