PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"What's New",,"Noutăți",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"All rights reserved.",,"Toate drepturile rezervate.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About this version",,"Despre această versiune",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About",,"Despre",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with audio only",,"Acceptă apel primit doar cu audio",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with audio only",,"Acceptă doar cu audio",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with video",,"Acceptă apelul primit cu video",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with video",,"Acceptă cu video",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
""Alternatively, click ""Create Account"" to create a new Microsoft account."",,"Alternativ, dă clic pe „Creează cont” pentru a crea un cont Microsoft nou.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No Microsoft account is associated with the email provided. Please check and try again.",,"Niciun cont Microsoft nu este asociat cu adresa de e-mail furnizată. Verifică și încearcă din nou.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Forgot to include someone? No problem - simply add them to the chat here",,"Ai uitat să incluzi pe cineva? Nicio problemă – pur și simplu adaugă persoana la chatul de aici",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Add more people",,"Adaugă mai multe persoane",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Save to local address book",,"Salvați în agenda locală",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Another user has enabled Skype diagnostic and error reports on this device. These reports are used to troubleshoot issues and may contain personal information such as your name, profile details and chat content.\r\n\r\nIt is recommended that you turn off these reports if you're not experiencing any issues as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to disable diagnostic and error reports? Skype will quit and reports will be disabled the next time you launch the app.",,"Un alt utilizator a activat rapoartele de diagnosticare și de erori Skype pe acest dispozitiv. Aceste rapoarte sunt utilizate pentru a depana probleme și pot conține informații personale precum numele, detaliile profilului și conținutul chaturilor.\r\n\r\nVă recomandăm să dezactivați aceste rapoarte dacă nu întâmpinați probleme, deoarece colectarea de rapoarte continuă în fundal și poate afecta performanța.\r\n\r\nDoriți să dezactivați rapoartele de diagnosticare și de erori? Skype se va închide, iar rapoartele vor fi dezactivate la următoarea lansare a aplicației.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Are you sure you want to disable diagnostic and error reports?\r\n    \r\nSkype will automatically close and reports will be disabled the next time you launch the app.",,"Sigur doriți să dezactivați rapoartele de diagnosticare și de erori?\r\n    \r\nSkype se va închide automat, iar rapoartele vor fi dezactivate la următoarea lansare a aplicației.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Troubleshoot issues you have with Skype by sending diagnostic and error reports to Microsoft. These reports are used to diagnose problems but may contain personal information such as your name, profile details and chat content.\r\n    \r\nIt is recommended that you turn off these reports after you've finished troubleshooting your issue as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to enable diagnostic and error reports? Skype will automatically close and reports will be enabled the next time you launch the app.",,"Depanați problemele pe care le aveți cu Skype prin trimiterea de rapoarte de diagnosticare și de erori către Microsoft. Aceste rapoarte sunt folosite pentru a diagnostica problemele, dar pot conține informații personale, precum numele, detaliile profilului și conținutul chaturilor.\r\n    \r\nVă recomandăm să dezactivați aceste rapoarte după ce ați terminat depanarea, deoarece colectarea de rapoarte continuă în fundal și poate afecta performanța.\r\n\r\nDoriți să activați rapoartele de diagnosticare și de erori? Skype se va închide automat, iar rapoartele vor fi activate la următoarea lansare a aplicației.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} at {1}",,"{0} la {1}",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No notifications",,"Nicio notificare",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} new notifications",,"{0} notificări noi",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"1 new notification",,"1 notificare nouă",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No new notifications",,"Nicio notificare nouă",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Unread",,"Necitit",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"New animated gif",,"GIF animat nou",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"{0} @mentioned {1}:",,"{0} a @menționat utilizatorul {1}:",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"all",,"pe toți",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"you",,"pe tine",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Call phone ({0})",,"Apelați numărul de telefon ({0})",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Call {0} via my phone",,"Apelați {0} prin telefon",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Call {0} via Skype",,"Apelați {0} prin Skype",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Back",,"Înapoi",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Block this contact?",,"Dorești să blochezi această persoană de contact?",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Child endangerment (exploitation)",,"Pune în pericol (exploatează) copiii",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Harassment or threats",,"Hărțuire sau amenințări",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Contains nudity or pornography",,"Conține nuditate sau pornografie",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Spam",,"Spam",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"share your screen",,"partajați ecranul",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Bot Directory",,"Directorul pentru chatbot-uri",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Bots List",,"Listă cu chatbot-uri",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Loading",,"Se încarcă",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Loading...",,"Se încarcă...",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"This bot will have access to your display name, country/region and language, messages, voice calls and any other content that you or other participants share with the bot. This bot may also provide web links from third parties.",,"Acest chatbot va avea acces la numele afișat, țara/regiunea și limba, mesajele, apelurile vocale și orice alt conținut pe care dumneavoastră sau alți participanți l-au partajat cu chatbot-ul. Acest chatbot poate oferi și linkuri web de la terțe părți.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"This bot will have access to your display name, country/region and language, messages, voice or video calls and any other content that you or other participants share with the bot. This bot may also provide web links from third parties.",,"Acest chatbot va avea acces la numele afișat, țara/regiunea și limba, mesajele, apelurile vocale sau video și orice alt conținut pe care dumneavoastră sau alți participanți l-au partajat cu chatbot-ul. Acest chatbot poate oferi și linkuri web de la terțe părți.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Speech was not natural or sounded distorted",,"Conversația suna nefiresc sau distorsionat",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
