PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Share button language",,"Limba butonului Partajare",,"None",,"All",,"Skype Web App",,""
"Show share button at",,"Afișare buton Partajare",,"None",,"All",,"Skype Web App",,""
"both bottom and top",,"la partea de jos și la partea de sus",,"None",,"All",,"Skype Web App",,""
"bottom of article",,"la partea de jos a articolului",,"None",,"All",,"Skype Web App",,""
"top of article",,"la partea de sus a articolului",,"None",,"All",,"Skype Web App",,""
"Button style",,"Stilul Butonului",,"None",,"All",,"Skype Web App",,""
"Circle Icon",,"Pictograma cerc",,"None",,"All",,"Skype Web App",,""
"Large Share",,"Buton Partajare mare",,"None",,"All",,"Skype Web App",,""
"Small Share",,"Buton Partajare mic",,"None",,"All",,"Skype Web App",,""
"Square Icon",,"Pictograma pătrat",,"None",,"All",,"Skype Web App",,""
"Enable share button",,"Activare buton Partajare",,"None",,"All",,"Skype Web App",,""
"Learn more, check out the {href_start}FAQ{href_end}.",,"Aflați mai multe, consultați {href_start}Întrebări frecvente{href_end}.",,"None",,"All",,"Skype Web App",,""
"Get people sharing and talking about your website on Skype. We've made it faster and easier for people to share content from your site, straight into a Skype chat. It is easy to integrate and supports both desktop and mobile sites.",,"Determinați oamenii să vorbească despre și să partajeze conținutul site-ului dumneavoastră web pe Skype. Acum este mai simplu și mai rapid ca oamenii să partajeze conținut de pe site direct într-un chat Skype. Este simplu de integrat și sunt acceptate atât site-uri în versiune desktop, cât și site-uri în versiune pentru mobil.",,"None",,"All",,"Skype Web App",,""
"Skype share button options",,"Opțiuni buton Partajare pe Skype",,"None",,"All",,"Skype Web App",,""
"Skype share button",,"Buton Partajare pe Skype",,"None",,"All",,"Skype Web App",,""
"Settings",,"Setări",,"None",,"All",,"Skype Web App",,""
"Your use of Skype buttons is subject to the {href_start}Terms of Use{href_end}.",,"Utilizarea de către dumneavoastră a butoanelor Skype este supusă {href_start}Termenilor de utilizare{href_end}.",,"None",,"All",,"Skype Web App",,""
""Accessibility label describing how many mutual friends the contact has with the current user. {Locked=""{count}""}"",,""Etichetă de accesibilitate care descrie câți prieteni comuni au persoana de contact și utilizatorul curent. {Locked=""{count}""}"",,"None",,"All",,"Skype Web App",,""
"An accessibility label for the invisible container which contains a history of the notifications announced by the screen reader (like 'Message sent.')",,"O etichetă de accesibilitate pentru containerul invizibil care conține un istoric al notificărilor anunțate de cititorul de ecran (cum ar fi „Mesaj trimis”)",,"None",,"All",,"Skype Web App",,""
"Accept",,"Acceptă",,"None",,"All",,"Skype Web App",,""
"Accept the call",,"Acceptă apelul",,"None",,"All",,"Skype Web App",,""
"Click to {swiftAction}",,"Dă clic pentru a {swiftAction}",,"None",,"All",,"Skype Web App",,""
"Add to favorites",,"Adăugați la Preferate",,"None",,"All",,"Skype Web App",,""
"Send",,"Trimite",,"None",,"All",,"Skype Web App",,""
"Delete conversation",,"Șterge conversația",,"None",,"All",,"Skype Web App",,""
"Leave conversation",,"Părăsește conversația",,"None",,"All",,"Skype Web App",,""
"Mark as read",,"Marcați ca citită",,"None",,"All",,"Skype Web App",,""
"Mark as unread",,"Marcați ca necitită",,"None",,"All",,"Skype Web App",,""
"Remove from favorites",,"Eliminați din Preferate",,"None",,"All",,"Skype Web App",,""
"Turn notifications off",,"Dezactivează notificările",,"None",,"All",,"Skype Web App",,""
"Turn notifications on",,"Activează notificările",,"None",,"All",,"Skype Web App",,""
"Add to new group",,"Adaugă la grup nou",,"None",,"All",,"Skype Web App",,""
"Currently unable to chat.",,"Momentan, nu poți discuta pe chat.",,"None",,"All",,"Skype Web App",,""
"Type to chat...",,"Scrie în chat...",,"None",,"All",,"Skype Web App",,""
"Avatar of {title}",,"Avatarul pentru {title}",,"None",,"All",,"Skype Web App",,""
"Block",,"Blochează",,"None",,"All",,"Skype Web App",,""
"Delete",,"Șterge",,"None",,"All",,"Skype Web App",,""
"Leave",,"Părăsește",,"None",,"All",,"Skype Web App",,""
"Yes",,"Da",,"None",,"All",,"Skype Web App",,""
"Remove",,"Elimină",,"None",,"All",,"Skype Web App",,""
"Bot ID",,"ID chatbot",,"None",,"All",,"Skype Web App",,""
"Button image",,"Imaginea butonului",,"None",,"All",,"Skype Web App",,""
"Button label",,"Eticheta butonului",,"None",,"All",,"Skype Web App",,""
"Button style",,"Stilul butonului",,"None",,"All",,"Skype Web App",,""
"Code",,"Cod",,"None",,"All",,"Skype Web App",,""
"Colors",,"Culori",,"None",,"All",,"Skype Web App",,""
"Copy",,"Copiază",,"None",,"All",,"Skype Web App",,""
"Dark",,"Întunecată",,"None",,"All",,"Skype Web App",,""
"Light",,"Luminoasă",,"None",,"All",,"Skype Web App",,""
"Message",,"Mesaj",,"None",,"All",,"Skype Web App",,""
"Theme",,"Temă",,"None",,"All",,"Skype Web App",,""
"Add",,"Adăugați",,"None",,"All",,"Skype Web App",,""
"Back to {section}",,"Înapoi la {section}",,"None",,"All",,"Skype Web App",,""
"Call back",,"Sună înapoi",,"None",,"All",,"Skype Web App",,""
"Create",,"Creați",,"None",,"All",,"Skype Web App",,""
"Join",,"Alătură-te",,"None",,"All",,"Skype Web App",,""
"The person you're trying to call may not be available",,"Este posibil ca persoana pe care încercați să o apelați să nu fie disponibilă",,"None",,"All",,"Skype Web App",,""
"Accept with audio",,"Acceptați cu audio",,"None",,"All",,"Skype Web App",,""
"Accept with video",,"Acceptați cu video",,"None",,"All",,"Skype Web App",,""
"Dock",,"Andocați",,"None",,"All",,"Skype Web App",,""
"Fullscreen",,"Ecran complet",,"None",,"All",,"Skype Web App",,""
"Reject",,"Respingeți",,"None",,"All",,"Skype Web App",,""
"Start audio call",,"Începeți un apel audio",,"None",,"All",,"Skype Web App",,""
"Start video call",,"Începeți apelul video",,"None",,"All",,"Skype Web App",,""
"Toggle chat",,"Comutați chatul",,"None",,"All",,"Skype Web App",,""
"Your browser does not support calling. Use Microsoft Edge or Google Chrome for the best experience.",,"Browserul dumneavoastră nu acceptă apelarea. Utilizați Microsoft Edge sau Google Chrome pentru o experiență optimă.",,"None",,"All",,"Skype Web App",,""
"Close",,"Închideți",,"None",,"All",,"Skype Web App",,""
"How would you rate the quality of this call?",,"Cum ați evalua calitatea acestui apel?",,"None",,"All",,"Skype Web App",,""
"CALLING...",,"APELEAZĂ...",,"None",,"All",,"Skype Web App",,""
"INCOMING CALL",,"APEL PRIMIT",,"None",,"All",,"Skype Web App",,""
"CALL ON HOLD...",,"APEL ÎN AȘTEPTARE...",,"None",,"All",,"Skype Web App",,""
"{initiator} is recording the call",,"{initiator} înregistrează apelul",,"None",,"All",,"Skype Web App",,""
"Cameras",,"Camere",,"None",,"All",,"Skype Web App",,""
"Devices",,"Dispozitive",,"None",,"All",,"Skype Web App",,""
"Microphones",,"Microfoane",,"None",,"All",,"Skype Web App",,""
"Speakers",,"Difuzoare",,"None",,"All",,"Skype Web App",,""
"Unknown device ({id})",,"Dispozitiv necunoscut ({id})",,"None",,"All",,"Skype Web App",,""
"Conversation is blocked",,"Conversația este blocată",,"None",,"All",,"Skype Web App",,""
"There are {count} participants in conversation",,"Există {count} participanți în conversație",,"None",,"All",,"Skype Web App",,""
"Dismiss",,"Respingere",,"None",,"All",,"Skype Web App",,""
"Clear",,"Șterge",,"None",,"All",,"Skype Web App",,""
"Click here",,"Dă clic aici",,"None",,"All",,"Skype Web App",,""
"{0}Click here{1} to switch accounts",,"{0}Dă clic aici{1} pentru a comuta între conturi",,"None",,"All",,"Skype Web App",,""
"Click here to switch accounts",,"Dă clic aici pentru a comuta între conturi",,"None",,"All",,"Skype Web App",,""
