PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Se lansează Skype for Business Client",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"Nu v-am putut conecta la eveniment. Această problemă poate să fie temporară. Dacă nu se rezolvă, contactați organizatorul evenimentului.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"pentru a gestiona evenimentul",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"Asociați-vă la întâlnire",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Linkul pe care îl folosiți pentru a vă alătura la eveniment nu este valid. Contactați organizatorul evenimentului.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Nume sau adresă de e-mail nevalid(ă)",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"Asociere la întâlnire",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Toate drepturile rezervate.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"Întâmpinăm probleme la încercarea de a vă permite să vă alăturați ca membru al echipei evenimentului.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"Întâmpinăm probleme la activarea difuzării întâlnirii.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join the event",,"Participați la eveniment",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Open the event dashboard",,"Deschideți tabloul de bord pentru evenimente",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"if you don't have Skype for Business installed",,"dacă nu aveți instalat Skype for Business",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"English",,"Română",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting as event team member. Please request access from the meeting organizer or sign in using a different account.",,"Ne pare rău, nu aveți permisiunea de a vă alătura întâlnirii ca membru al echipei evenimentului. Solicitați acces de la organizatorul întâlnirii sau conectați-vă cu alt cont.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Have you successfully launched the app? Feel free to close this page.",,"Ați lansat cu succes aplicația? Puteți închide această pagină.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a guest",,"Sunteți pe cale de a adera la reuniunea ${meetingName} ca oaspete",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event due to network issues. Please try again later.",,"Nu v-am putut conecta la eveniment din cauza unor probleme de rețea. Încercați din nou mai târziu.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please try it again.",,"Nu v-am putut conecta la eveniment. Această problemă poate să fie temporară. Încercați din nou.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Privacy and Cookies",,"Confidențialitate și cookie-uri",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Launching ...",,"Se lansează ...",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The operating system or browser that you are using to join the meeting is not supported.",,"Sistemul de operare sau browserul pe care îl utilizați pentru a vă asocia la întâlnire nu este acceptat.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Let's go!",,"Să începem!",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. The meeting may have ended. Please check with your event organizer.",,"Nu v-am putut conecta la eveniment. Se poate ca întâlnirea să se fi încheiat. Contactați organizatorul evenimentului.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble launching Skype For Business.",,"Întâmpinăm probleme la lansarea Skype for Business.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join has expired. Please check with the meeting organizer.",,"Întâlnirea la care încercați să vă asociați a expirat. Verificați cu organizatorul întâlnirii.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The meeting you are trying to join can’t be found. Please check with the meeting organizer.",,"Întâlnirea la care încercați să vă asociați nu poate fi găsită. Vă rugăm să verificați cu organizatorul întâlnirii.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
