PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"In Progress",,"În curs",,"None",,"All",,"Skype for Business for iOS",,""
"No thanks, continue to calendar",,"Nu, mulțumesc, continuați cu calendarul",,"None",,"All",,"Skype for Business for iOS",,""
"Get Outlook for iOS",,"Descărcați Outlook pentru iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Outlook for iOS",,"Outlook pentru iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Use Outlook to access all your Skype Meetings with just a tap",,"Folosiți Outlook pentru a accesa toate întâlnirile Skype printr-o simplă atingere",,"None",,"All",,"Skype for Business for iOS",,""
"days",,"zile",,"None",,"All",,"Skype for Business for iOS",,""
"day",,"zi",,"None",,"All",,"Skype for Business for iOS",,""
"hours",,"ore",,"None",,"All",,"Skype for Business for iOS",,""
"hour",,"oră",,"None",,"All",,"Skype for Business for iOS",,""
"minutes",,"minute",,"None",,"All",,"Skype for Business for iOS",,""
"minute",,"minut",,"None",,"All",,"Skype for Business for iOS",,""
"seconds",,"secunde",,"None",,"All",,"Skype for Business for iOS",,""
"second",,"secundă",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"z",,"None",,"All",,"Skype for Business for iOS",,""
"h",,"h",,"None",,"All",,"Skype for Business for iOS",,""
"min",,"min",,"None",,"All",,"Skype for Business for iOS",,""
"s",,"s",,"None",,"All",,"Skype for Business for iOS",,""
"Call Ended",,"Apel terminat",,"None",,"All",,"Skype for Business for iOS",,""
"Cancel",,"Anulare",,"None",,"All",,"Skype for Business for iOS",,""
"Add participants",,"Adăugați participanți",,"None",,"All",,"Skype for Business for iOS",,""
"Your conversations will appear here",,"Conversațiile dumneavoastră vor fi afișate aici",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to %@",,"Începeți o conversație cu %@",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to the group",,"Începeți o conversație cu grupul",,"None",,"All",,"Skype for Business for iOS",,""
"Type a message here",,"Scrieți un mesaj aici",,"None",,"All",,"Skype for Business for iOS",,""
"Chat is available in Teams",,"Chatul este disponibil în Teams",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and %d others are typing...",,"%@, %@ și încă %d persoane scriu un mesaj...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is typing...",,"%@ scrie un mesaj...",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and one other are typing...",,"%@, %@ și încă o persoană scriu un mesaj...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ and %@ are typing...",,"%@ și %@ scriu un mesaj...",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message: %@",,"Nu am putut trimite acest mesaj: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Conference ended",,"Conferință încheiată",,"None",,"All",,"Skype for Business for iOS",,""
"Participants",,"Participanți",,"None",,"All",,"Skype for Business for iOS",,""
"Show Contact Profile",,"Arată profil contact",,"None",,"All",,"Skype for Business for iOS",,""
"Send message",,"Trimiteți mesaj",,"None",,"All",,"Skype for Business for iOS",,""
"Incoming",,"Primit",,"None",,"All",,"Skype for Business for iOS",,""
"Outgoing",,"Efectuat",,"None",,"All",,"Skype for Business for iOS",,""
"Add contact",,"Adăugați contactul",,"None",,"All",,"Skype for Business for iOS",,""
"Manage contact",,"Gestionați contactul",,"None",,"All",,"Skype for Business for iOS",,""
"%lu participants",,"%lu participanți",,"None",,"All",,"Skype for Business for iOS",,""
"Copy",,"Copiați",,"None",,"All",,"Skype for Business for iOS",,""
"dismiss",,"închideți",,"None",,"All",,"Skype for Business for iOS",,""
"add participants",,"adăugați participanți",,"None",,"All",,"Skype for Business for iOS",,""
"Preview feedback",,"Previzualizați feedbackul",,"None",,"All",,"Skype for Business for iOS",,""
"Send email",,"Trimiteți e-mail",,"None",,"All",,"Skype for Business for iOS",,""
"See contact card",,"Vedeți cartea de vizită",,"None",,"All",,"Skype for Business for iOS",,""
"Backspace",,"Backspace",,"None",,"All",,"Skype for Business for iOS",,""
"Show emoticons",,"Afișare emotigrame",,"None",,"All",,"Skype for Business for iOS",,""
"emoticons",,"emotigrame",,"None",,"All",,"Skype for Business for iOS",,""
"Emoticon: %@",,"Emotigramă: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Angel",,"Înger",,"None",,"All",,"Skype for Business for iOS",,""
"Angry",,"Supărat",,"None",,"All",,"Skype for Business for iOS",,""
"Bandit",,"Bandit",,"None",,"All",,"Skype for Business for iOS",,""
"Soccer",,"Fotbal",,"None",,"All",,"Skype for Business for iOS",,""
"Beer",,"Bere",,"None",,"All",,"Skype for Business for iOS",,""
"Bike",,"Bicicletă",,"None",,"All",,"Skype for Business for iOS",,""
"Blushing",,"Emoționat",,"None",,"All",,"Skype for Business for iOS",,""
"Bowing",,"Plecăciune",,"None",,"All",,"Skype for Business for iOS",,""
"Broken heart",,"Inimă frântă",,"None",,"All",,"Skype for Business for iOS",,""
"Cake",,"Tort",,"None",,"All",,"Skype for Business for iOS",,""
"Call",,"Apel",,"None",,"All",,"Skype for Business for iOS",,""
"Camera",,"Cameră",,"None",,"All",,"Skype for Business for iOS",,""
"Can you talk?",,"Putem vorbi?",,"None",,"All",,"Skype for Business for iOS",,""
"Car",,"Mașină",,"None",,"All",,"Skype for Business for iOS",,""
"Cash",,"Numerar",,"None",,"All",,"Skype for Business for iOS",,""
"Cat",,"Pisică",,"None",,"All",,"Skype for Business for iOS",,""
