PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Video problem",,"Problemă cu imaginea",,"None",,"All",,"Skype for Surface RT",,""
"Video problem. Send audio/video from your last call plus logs.",,"Problemă cu imaginea. Trimiteți înregistrări audio/video de la ultimul apel, precum și jurnale.",,"None",,"All",,"Skype for Surface RT",,""
"I accept the terms and conditions",,"Accept termenii și condițiile",,"None",,"All",,"Skype for Surface RT",,""
"{0} - Press enter or space for call controls",,"{0} – Apăsați Enter sau spațiu pentru controalele de apel",,"None",,"All",,"Skype for Surface RT",,""
"Call",,"Apel",,"None",,"All",,"Skype for Surface RT",,""
"Add all invitees",,"Adăugați toți invitații",,"None",,"All",,"Skype for Surface RT",,""
"All Invitees",,"Toți invitații",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Adăugare",,"None",,"All",,"Skype for Surface RT",,""
"Add",,"Adăugați",,"None",,"All",,"Skype for Surface RT",,""
"People",,"Persoane",,"None",,"All",,"Skype for Surface RT",,""
"Find someone or dial a number",,"Găsiți o persoană sau formați un nr.",,"None",,"All",,"Skype for Surface RT",,""
"Add online participants",,"Adăugare participanți online",,"None",,"All",,"Skype for Surface RT",,""
"Admit all",,"Admiteți-i pe toți",,"None",,"All",,"Skype for Surface RT",,""
"Admit",,"Admiteți",,"None",,"All",,"Skype for Surface RT",,""
"1 of {0}:",,"1 din {0}:",,"None",,"All",,"Skype for Surface RT",,""
"Allow",,"Admitere",,"None",,"All",,"Skype for Surface RT",,""
"Allow this participant into the meeting",,"Admiteți acest participant în întâlnire",,"None",,"All",,"Skype for Surface RT",,""
"Content",,"Conținut",,"None",,"All",,"Skype for Surface RT",,""
"New messages",,"Mesaje noi",,"None",,"All",,"Skype for Surface RT",,""
"Message",,"Mesaj",,"None",,"All",,"Skype for Surface RT",,""
"Roster",,"Listă de nume",,"None",,"All",,"Skype for Surface RT",,""
"Join {0} scheduled meeting {1}",,"Alăturați-vă la {0} întâlnirea programată {1}",,"None",,"All",,"Skype for Surface RT",,""
"Back",,"Înapoi",,"None",,"All",,"Skype for Surface RT",,""
"Attendee",,"Participant",,"None",,"All",,"Skype for Surface RT",,""
"Send audio from your last call plus logs",,"Trimiteți înregistrări audio de la ultimul apel, precum și jurnale",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem",,"Problemă cu sunetul",,"None",,"All",,"Skype for Surface RT",,""
"Audio problem. Send audio from your last call plus logs.",,"Problemă cu sunetul. Trimiteți înregistrări audio de la ultimul apel, precum și jurnale.",,"None",,"All",,"Skype for Surface RT",,""
"Auto Camera Switching",,"Comutare automată a camerei",,"None",,"All",,"Skype for Surface RT",,""
"Your device isn’t set up for email. Please contact your support team.",,"Dispozitivul dvs. nu este configurat pentru e-mail. Contactați echipa de asistență.",,"None",,"All",,"Skype for Surface RT",,""
"Nothing's scheduled for the rest of the day.",,"Nu aveți nimic programat pentru restul zilei.",,"None",,"All",,"Skype for Surface RT",,""
"Getting your calendar…",,"Conectare la calendar...",,"None",,"All",,"Skype for Surface RT",,""
"Calendar is unavailable",,"Calendarul nu este disponibil",,"None",,"All",,"Skype for Surface RT",,""
"Call Ended",,"Apel încheiat",,"None",,"All",,"Skype for Surface RT",,""
"This call is on hold.",,"Apelul este în așteptare.",,"None",,"All",,"Skype for Surface RT",,""
"The network quality isn't great",,"Calitatea rețelei nu este foarte bună",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is pretty bad",,"Calitatea rețelei este destul de slabă",,"None",,"All",,"Skype for Surface RT",,""
"The network quality is good",,"Calitatea rețelei este bună",,"None",,"All",,"Skype for Surface RT",,""
"Camera options",,"Opțiunile camerei",,"None",,"All",,"Skype for Surface RT",,""
"Cancel",,"Anulare",,"None",,"All",,"Skype for Surface RT",,""
"Cancel",,"Anulați",,"None",,"All",,"Skype for Surface RT",,""
"Center Camera Only",,"Doar camera centrală",,"None",,"All",,"Skype for Surface RT",,""
"Chat Input conversation with zero participants||Chat Input conversation with one participant||Chat Input conversation with {0} participants",,"Conversație prin chat cu niciun participant||Conversație prin chat cu un participant||Conversație prin chat cu {0} participanți",,"None",,"All",,"Skype for Surface RT",,""
"Type a message here",,"Scrieți un mesaj aici",,"None",,"All",,"Skype for Surface RT",,""
"Chat conversation pane updated",,"Panou de conversație în chat actualizat",,"None",,"All",,"Skype for Surface RT",,""
"Check in all local participants",,"Permiteți accesul tuturor participanților locali",,"None",,"All",,"Skype for Surface RT",,""
"Expand or collapse the participants who have not yet joined the meeting or left the meeting",,"Extindeți sau restrângeți lista de participanți care încă nu s-au alăturat întâlnirii sau care au părăsit întâlnirea",,"None",,"All",,"Skype for Surface RT",,""
