PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account",,"Cont",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Available",,"Disponibil",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Unable to change your profile picture, please try again.",,"Imaginea dumneavoastră de profil nu a putut fi schimbată, încercați din nou.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close settings",,"Închidere setări",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Disable automatic Skype plugin updates",,"Dezactivați actualizările automate ale insertului Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Display settings",,"Afișare setări",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype plugin",,"Descărcare insert Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable automatic Skype plugin updates",,"Activați actualizările automate ale insertului Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"The image type you tried to upload is not supported",,"Tipul de imagine pe care ați încercat să o încărcați nu este acceptat",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Not available",,"Indisponibil",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications off",,"Notificări dezactivate",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications on",,"Notificări activate",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"off",,"dezactivate",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"on",,"activate",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Automatic Skype plugin updates are",,"Actualizările automate ale insertului Skype sunt",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Online presence set to available (notifications on)",,"Prezența online a fost setată la disponibil (notificări activate)",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign out",,"Deconectare",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Upload a profile picture",,"Încărcați o fotografie de profil",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept the call using Alt + PgUp",,"Acceptați apelul folosind Alt + PgUp",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice",,"Acceptați cu voce",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice using Alt + Page Up",,"Acceptați cu voce folosind Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with Video",,"Acceptați cu video",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with video using Ctrl + Alt + Page Up",,"Acceptați cu video folosind Ctrl + Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Your guest account will expire in 10 minutes.",,"Contul de invitat va expira în 10 minute.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
""Select ""add to contacts"" and they'll get your request."",,"Selectați „adăugare la contacte” și persoana respectivă vă va primi solicitarea.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Add Skype as a bookmark",,"Adăugați Skype ca semn de carte",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Already have an account?",,"Aveți deja un cont?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"or",,"sau",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You can call and chat with everyone here for free.",,"Puteți suna și discuta gratuit pe chat cu oricine de aici.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close",,"Închidere",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Computer says no…",,"Computerul spune nu…",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Continue",,"Continuați",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads.",,"Prin utilizarea acestui site, sunteți de acord cu folosirea cookie-urilor în scopuri de analiză și pentru a vă oferi conținut și reclame personalizate.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
