PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Activate SMS alerts",,"Активувати SMS-оповіщення",,"Text",,"All",,"Commerce Server",,""
"Your Skype credit is",,"На вашому рахунку Skype",,"Text",,"All",,"Commerce Server",,""
"Add your home phone number so friends will have more ways to contact you",,"Вкажіть номер свого домашнього телефону, щоб друзі мали ще більше можливостей зв'язатися з вами",,"Text",,"All",,"Commerce Server",,""
"Add your mobile number so friends will have more ways to contact you",,"Вкажіть номер свого мобільного телефону, щоб друзі мали ще більше можливостей зв'язатися з вами",,"Text",,"All",,"Commerce Server",,""
"Add your office phone number so friends will have more ways to contact you",,"Вкажіть номер свого робочого телефону, щоб друзі мали ще більше можливостей зв'язатися з вами",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 1",,"Повернутися до виноски 1",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 2",,"Повернутися до виноски 2",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 3",,"Повернутися до виноски 3",,"Text",,"All",,"Commerce Server",,""
"Back to footnote 4",,"Повернутися до виноски 4",,"Text",,"All",,"Commerce Server",,""
"Delete phone number: {NUMBER}",,"Видалити номер телефону {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"No, don't delete number {NUMBER}",,"Ні, не видаляти номер {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Yes, delete number {NUMBER}",,"Так, видалити номер {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Cancel and return to account overview page",,"Скасувати та повернутися на сторінку огляду облікового запису",,"Text",,"All",,"Commerce Server",,""
"Cancel {PACKAGE_NAME} subscription",,""Скасувати передплату на пакет ""{PACKAGE_NAME}"""",,"Text",,"All",,"Commerce Server",,""
"Reset or change Facebook password",,"Відновлення або зміна пароля облікового запису Facebook",,"Text",,"All",,"Commerce Server",,""
"Reset or change Microsoft password",,"Відновлення або зміна пароля облікового запису Microsoft",,"Text",,"All",,"Commerce Server",,""
"Change Skype password",,"Зміна пароля облікового запису Skype",,"Text",,"All",,"Commerce Server",,""
"Number to show when I call phones",,"Номер, який показуватиметься під час моїх дзвінків на телефони",,"Text",,"All",,"Commerce Server",,""
"Verification code",,"Перевірочний код",,"Text",,"All",,"Commerce Server",,""
"Close pop-up",,"Закрити спливне вікно",,"Text",,"All",,"Commerce Server",,""
"Country/region",,"Країна або регіон",,"Text",,"All",,"Commerce Server",,""
"Country/region or Skype Name",,"Країна, регіон або ім'я Skype",,"Text",,"All",,"Commerce Server",,""
"Delete number {number}",,"Видалити номер {number}",,"Text",,"All",,"Commerce Server",,""
"Disable Caller id",,"Вимкнути ідентифікацію номера абонента",,"Text",,"All",,"Commerce Server",,""
"Disable call forwarding",,"Вимкнути переадресацію викликів",,"Text",,"All",,"Commerce Server",,""
"Disable voice messages",,"Вимкнути голосові повідомлення",,"Text",,"All",,"Commerce Server",,""
"Display billings and payments",,"Показати рахунки та платежі",,"Text",,"All",,"Commerce Server",,""
"Display settings and preferences",,"Показати налаштування та параметри",,"Text",,"All",,"Commerce Server",,""
"Display subscriptions.",,"Відобразити передплати.",,"Text",,"All",,"Commerce Server",,""
"Edit phone number",,"Редагувати номер телефону",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Facebook account to sign in to Skype",,"Дізнайтеся більше про використання облікового запису Facebook для входу в Skype",,"Text",,"All",,"Commerce Server",,""
"Unlink your Facebook account ",,"Скасувати зв'язок з обліковим записом Facebook ",,"Text",,"All",,"Commerce Server",,""
"Find a new subscription",,"Знайти нову передплату",,"Text",,"All",,"Commerce Server",,""
"Footnote 1",,"Виноска 1",,"Text",,"All",,"Commerce Server",,""
"Footnote 2",,"Виноска 2",,"Text",,"All",,"Commerce Server",,""
"Footnote 3",,"Виноска 3",,"Text",,"All",,"Commerce Server",,""
"Footnote 4",,"Виноска 4",,"Text",,"All",,"Commerce Server",,""
"Get {PACKAGE_NAME} subscription",,""Оформити передплату на пакет ""{PACKAGE_NAME}"""",,"Text",,"All",,"Commerce Server",,""
"Previous page",,"Попередня сторінка",,"Text",,"All",,"Commerce Server",,""
"Select country/region for your Skype Number",,"Оберіть країну або регіон для свого Skype-номера",,"Text",,"All",,"Commerce Server",,""
"Select Your Skype Number",,"Оберіть свій Skype-номер",,"Text",,"All",,"Commerce Server",,""
"Hide billing and payments",,"Сховати рахунки та платежі",,"Text",,"All",,"Commerce Server",,""
"Hide settings and preferences",,"Сховати налаштування та параметри",,"Text",,"All",,"Commerce Server",,""
"Hide subscriptions.",,"Сховати передплати.",,"Text",,"All",,"Commerce Server",,""
"Link opens in {SPAN_START}iFrame{SPAN_END}.",,"Посилання відкриється в {SPAN_START}iFrame{SPAN_END}.",,"Text",,"All",,"Commerce Server",,""
"Change Caller ID number",,"Змінити номер для ідентифікації номера додзвонювача",,"Text",,"All",,"Commerce Server",,""
"We'll display a number local to the place you're calling, if you have one.",,"Відображатиметься номер у місцевості, до якої ви телефонуєте, якщо він у вас є.",,"Text",,"All",,"Commerce Server",,""
"Why you should complete your profile",,"Навіщо заповнювати профіль",,"Text",,"All",,"Commerce Server",,""
"over 50 countries/regions for {PLAN_NAME}.",,""більше 50 країн і регіонів за передплатою ""{PLAN_NAME}""."",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minute left",,"Залишилася {COUNT} хвилина",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"Залишилося {COUNT} хвилини",,"Text",,"All",,"Commerce Server",,""
"{COUNT} minutes left",,"Залишилося {COUNT} хвилин",,"Text",,"All",,"Commerce Server",,""
"minute of Skype WiFi.",,"хвилина для Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"хвилини для Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minutes of Skype WiFi.",,"хвилин для Skype WiFi.",,"Text",,"All",,"Commerce Server",,""
"minute to mobiles and landlines.",,"хвилина для дзвінків на мобільні та стаціонарні телефони.",,"Text",,"All",,"Commerce Server",,""
"minutes to mobiles and landlines.",,"хвилини для дзвінків на мобільні та стаціонарні телефони.",,"Text",,"All",,"Commerce Server",,""
"minutes to mobiles and landlines.",,"хвилин для дзвінків на мобільні та стаціонарні телефони.",,"Text",,"All",,"Commerce Server",,""
"Learn more about using your Microsoft account to sign in to Skype",,"Дізнайтеся більше про використання облікового запису Microsoft для входу в Skype",,"Text",,"All",,"Commerce Server",,""
"Unlink your Microsoft account",,"Скасувати зв'язок з обліковим записом Microsoft",,"Text",,"All",,"Commerce Server",,""
"Next page",,"Наступна сторінка",,"Text",,"All",,"Commerce Server",,""
"You have",,"У вас",,"Text",,"All",,"Commerce Server",,""
"You have no subscriptions",,"У вас немає передплат",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}",,"Сторінка {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Page {NUMBER}. Selected",,"Сторінка {NUMBER}. Вибрано",,"Text",,"All",,"Commerce Server",,""
"Feature is active.",,"Функція активна.",,"Text",,"All",,"Commerce Server",,""
"Feature is inactive.",,"Функція неактивна.",,"Text",,"All",,"Commerce Server",,""
"Attention is needed.",,"Потрібна ваша увага.",,"Text",,"All",,"Commerce Server",,""
"Phone number",,"Номер телефону",,"Text",,"All",,"Commerce Server",,""
"Send me emails about special offers",,"Надсилати мені електронною поштою повідомлення про спеціальні пропозиції",,"Text",,"All",,"Commerce Server",,""
"Participate in occasional marketing research",,"Брати участь у маркетингових дослідженнях",,"Text",,"All",,"Commerce Server",,""
"Send me SMS messages about special offers",,"Надсилати мені SMS-повідомлення про спеціальні пропозиції",,"Text",,"All",,"Commerce Server",,""
"Recover your account",,"Відновити обліковий запис",,"Text",,"All",,"Commerce Server",,""
"Request more credit",,"Запит на додаткові кошти",,"Text",,"All",,"Commerce Server",,""
"Skype Number setup steps",,"Кроки з налаштування Skype-номера",,"Text",,"All",,"Commerce Server",,""
"payment settings for Skype Number {NUMBER}",,"налаштування платежів для Skype-номера {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Reactivate Skype Number {NUMBER}",,"Повторно активувати Skype-номер {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Skype Number {NUMBER} settings",,"Налаштування Skype-номера {NUMBER}",,"Text",,"All",,"Commerce Server",,""
"Step 1",,"Крок 1",,"Text",,"All",,"Commerce Server",,""
"Step 2",,"Крок 2",,"Text",,"All",,"Commerce Server",,""
"Step 3",,"Крок 3",,"Text",,"All",,"Commerce Server",,""
"Part 3 Confirmation",,"Частина 3. Підтвердження",,"Text",,"All",,"Commerce Server",,""
"Part 1 Country/Region",,"Частина 1. Країна або регіон",,"Text",,"All",,"Commerce Server",,""
"Part 2 Area code, number, subscription",,"Частина 2. Міжміський код, номер, передплата",,"Text",,"All",,"Commerce Server",,""
"payment settings for {PACKAGE_NAME}",,""налаштування платежів для пакета ""{PACKAGE_NAME}"""",,"Text",,"All",,"Commerce Server",,""
"Reactivate {PACKAGE_NAME}",,""Повторно активувати пакет ""{PACKAGE_NAME}"""",,"Text",,"All",,"Commerce Server",,""
"{PACKAGE_NAME} settings",,""Налаштування пакета ""{PACKAGE_NAME}"""",,"Text",,"All",,"Commerce Server",,""
