PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"en-us",,"uk-ua",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Menu > Microsoft Teams > Show All",,"Меню > Microsoft Teams > Показати все",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We just need you to sign in, and then we'll get you to your meeting.",,"Просто ввійдіть, і ми проведемо вас до наради.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Quit",,"Закрити",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Restart",,"Перезавантажити",,"Text",,"All",,"Microsoft Teams for Mac",,""
"D'oh! Something went wrong...",,"Сталася помилка...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Having trouble? Tell us about it.",,"Виникли проблеми? Розкажіть нам, що сталося.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Get Latest",,"Отримати останню версію",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You’re using an unsupported version of Microsoft Teams",,"Ваша версія Microsoft Teams не підтримується",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You've got the latest updates. Enjoy!",,"Ви отримали останні оновлення. Насолоджуйтесь!",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Looks like a few files are missing; re-install Microsoft Teams to try again.",,"Здається, бракує кількох файлів. Повторно інсталюйте Microsoft Teams і повторіть спробу.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Couldn’t finish installing",,"Не вдалось інсталювати",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Hang tight! We’re getting you connected.",,"Зачекайте. Триває з’єднання.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authentication failed",,"Не вдалося виконати автентифікацію",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Modern authentication failed here, but you'll still be able to sign in. Your status code is {0}.",,"Не вдалося виконати сучасну автентифікацію, але ви все ще можете ввійти в систему. Код стану: {0}.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Sorry, we're having connection issues.",,"Виникли проблеми зі з’єднанням.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Go ahead and log in.",,"Увійдіть у систему.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Login to Microsoft Teams",,"Увійдіть у Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Mac",,""
"There's a more permanent way to sign in to Microsoft Teams. If you're having trouble completing the process, talk to your IT admin.",,"У Microsoft Teams можна входити в зручніший спосіб. Якщо виникли проблеми з входом, зверніться до ІТ-адміністратора.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Let's get you up and running...",,"Процес запущено...",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Authenticate",,"Автентифікувати",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Please select a certificate to authenticate yourself to {0}",,"Виберіть сертифікат, щоб автентифікуватися в {0}",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Select a certificate",,"Вибір сертифіката",,"Text",,"All",,"Microsoft Teams for Mac",,""
"We're sorry, but something went wrong. Please try again.",,"На жаль, сталася помилка. Повторіть спробу пізніше.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"You can also try clicking the original link you were sent.",,"Крім того, ви можете перейти за початковим посиланням, яке отримали.",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Add to Dictionary",,"Додати до словника",,"Text",,"All",,"Microsoft Teams for Mac",,""
"Copy",,"Копіювати",,"Text",,"All",,"Microsoft Teams for Mac",,""
