PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Ми намагаємось якнайшвидше вирішити цю проблему.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Не вдалось отримати інформацію про вашу активність.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,""Не пропускайте важливі події, такі як згадки, відмітки ""Подобається"" та відповіді."",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Сповіщення можна переглянути тут.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Не вдалось оновити відомості про вашу активність",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"Вас додано до недоступного каналу",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"Вас додано до недоступної команди",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"недоступний канал",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"недоступна команда",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Додати до вподобань",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Підписатися на канал",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"Користувач {0} додав користувача {1} до розмови",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Адреса",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} і {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} і {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} і ще {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"Не вдалося завантажити відомості про ваші попередні дії",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Усі канали",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Канали",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Не вдалось оновити команди",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Усі команди",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Завжди, навіть якщо я працюю на комп’ютері",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (для розробників)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (тестова версія)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
