PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"©Microsoft Corp 2016.  All rights reserved.",,"© Корпорація Майкрософт (Microsoft Corporation), 2016. Усі права захищено.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Switch the team the shift is assigned to",,"Змініть команду, якій призначено зміну",,"None",,"All",,"Microsoft Teams for iOS",,""
"Account",,"Обліковий запис",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sorry, we failed to fetch the list of accruals.",,"На жаль, нам не вдалося отримати список нарахувань.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Sorry, you don't have permission to view accruals.",,"На жаль, ви не маєте дозволу на перегляд нарахувань.",,"None",,"All",,"Microsoft Teams for iOS",,""
"No accruals were found.",,"Нарахувань не знайдено.",,"None",,"All",,"Microsoft Teams for iOS",,""
"%.01f days",,"%.01f днів",,"None",,"All",,"Microsoft Teams for iOS",,""
"%.01f hours",,"%.01f годин",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Break",,"Додати перерву",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add New Time Clock Entry",,"Додати новий запис табельного годинника",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add People",,"Додати користувачів",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add shift",,"Додати зміну",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Shift",,"Додати зміну",,"None",,"All",,"Microsoft Teams for iOS",,""
"Add Clock In/Out",,"Додавання відмітки про прихід на зміну або її завершення",,"None",,"All",,"Microsoft Teams for iOS",,""
"Your message is too long. Only the first %d characters will be sent.",,"Задовге повідомлення. Буде надіслано лише перші %d символів.",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all entries",,"Видалення всіх записів",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all time entries from %@ to %@",,"Видалення всіх записів часу від %@ до %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting all time entries for %@",,"Видалення всіх записів часу (%@)",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break from %@ to %@",,"Видалення перерви від %@ до %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break from %@ to %@ on %@",,"Видалення перерви в інтервалі %@–%@ %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Deleting break for %@ on %@",,"Видалення перерви від %@ %@",,"None",,"All",,"Microsoft Teams for iOS",,""
"Delete",,"Видалення",,"None",,"All",,"Microsoft Teams for iOS",,""
"Delete Break",,"Видалення перерви",,"None",,"All",,"Microsoft Teams for iOS",,""
"You can enable access in privacy settings.",,"Можете дозволити доступ у настройках конфіденційності.",,"None",,"All",,"Microsoft Teams for iOS",,""
"All Day",,"Увесь день",,"None",,"All",,"Microsoft Teams for iOS",,""
"Already have one? Tap here",,"Уже є? Натисніть тут",,"None",,"All",,"Microsoft Teams for iOS",,""
" and %d more",,"і ще %d",,"None",,"All",,"Microsoft Teams for iOS",,""
"+%d More",,"Еще %d",,"None",,"All",,"Microsoft Teams for iOS",,""
"Announcements from your company will show up here",,"Тут будуть відображатися оголошення від компанії",,"None",,"All",,"Microsoft Teams for iOS",,""
"No News Yet!",,"Ще немає новин!",,"None",,"All",,"Microsoft Teams for iOS",,""
"(No Subject)",,"(Без теми)",,"None",,"All",,"Microsoft Teams for iOS",,""
