PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"L",,"L",,"Text",,"All",,"Office Online Group",,""
"K",,"Е",,"Text",,"All",,"Office Online Group",,""
"I",,"И",,"Text",,"All",,"Office Online Group",,""
"Create a new document in {0}.",,"Створити новий документ у {0}.",,"Text",,"All",,"Office Online Group",,""
"11pt",,"11pt",,"Text",,"All",,"Office Online Group",,""
"Irish",,"ірландська",,"Text",,"All",,"Office Online Group",,""
"Romanian",,"румунська",,"Text",,"All",,"Office Online Group",,""
"Latvian",,"латвійська",,"Text",,"All",,"Office Online Group",,""
"Turkish",,"турецька",,"Text",,"All",,"Office Online Group",,""
"TC",,"О",,"Text",,"All",,"Office Online Group",,""
"'Segoe UI Light','Segoe UI',Arial,Verdana,sans-serif",,"'Segoe UI Light','Segoe UI',Arial,Verdana,sans-serif",,"Text",,"All",,"Office Online Group",,""
"IL",,"І",,"Text",,"All",,"Office Online Group",,""
"TH",,"О",,"Text",,"All",,"Office Online Group",,""
"VW",,"ХЯ",,"Text",,"All",,"Office Online Group",,""
"Sorry, there was a problem saving your {doctype} to {onedrive}. Please download the {doctype} and upload it to {onedrive} or copy your content and paste it into a new {doctype}.",,"Виникла проблема збереження документа в службі {onedrive}. Завантажте цей документ і передайте його в службу {onedrive} або скопіюйте вміст і вставте його у новий документ.",,"Text",,"All",,"Office Online Group",,""
"Dutch (Netherlands)",,"нідерландська (Нідерланди)",,"Text",,"All",,"Office Online Group",,""
"PDFs",,"PDF-файли",,"Text",,"All",,"Office Online Group",,""
"This feature is available when you sign in.",,"Ця функція доступна після входу в систему.",,"Text",,"All",,"Office Online Group",,""
"D",,"Е",,"Text",,"All",,"Office Online Group",,""
"Tamazight (Latin, Algeria)",,"тамазигхт (латиниця, Алжир)",,"Text",,"All",,"Office Online Group",,""
"Visio",,"Visio",,"Text",,"All",,"Office Online Group",,""
"pig",,"свиня",,"Text",,"All",,"Office Online Group",,""
"D",,"Х",,"Text",,"All",,"Office Online Group",,""
"Sorry, we don't support that kind of file. We can only insert .jpg, .jpeg, .png, .gif, .bmp, .tif, and .tiff files.",,"На жаль, ми не підтримуємо цей тип файлу. Можна вставляти лише файли типів JPG, JPEG, PNG, GIF, BMP, TIF і TIFF.",,"Text",,"All",,"Office Online Group",,""
"triangular flag",,"трикутний прапорець",,"Text",,"All",,"Office Online Group",,""
"ten-thirty",,"пів на одинадцяту",,"Text",,"All",,"Office Online Group",,""
"lying face",,"обличчя брехуна",,"Text",,"All",,"Office Online Group",,""
"snake",,"змія",,"Text",,"All",,"Office Online Group",,""
"Mount Fuji",,"гора Фудзі",,"Text",,"All",,"Office Online Group",,""
"ambulance",,"автомобіль швидкої допомоги",,"Text",,"All",,"Office Online Group",,""
"OV",,"У",,"Text",,"All",,"Office Online Group",,""
"R",,"Р",,"Text",,"All",,"Office Online Group",,""
"S",,"S",,"Text",,"All",,"Office Online Group",,""
"Permanently Delete",,"Остаточно видалити",,"Text",,"All",,"Office Online Group",,""
"spiral shell",,"спіральна мушля",,"Text",,"All",,"Office Online Group",,""
"mahjong red dragon",,"червоний дракон у грі в маджонг",,"Text",,"All",,"Office Online Group",,""
"I have a suggestion",,"У мене є пропозиція",,"Text",,"All",,"Office Online Group",,""
"K",,"З",,"Text",,"All",,"Office Online Group",,""
"W",,"Ї",,"Text",,"All",,"Office Online Group",,""
"C",,"Ю",,"Text",,"All",,"Office Online Group",,""
