PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Propert&ies...",,"&Властивості...",,"None",,"All",,"Outlook Group",,""
"C&ut",,"Ви&різати",,"None",,"All",,"Outlook Group",,""
"&Copy",,"&Копіювати",,"None",,"All",,"Outlook Group",,""
"&Paste",,"Вс&тавити",,"None",,"All",,"Outlook Group",,""
"&Delete",,"В&идалити",,"None",,"All",,"Outlook Group",,""
"Select &All",,"Виділити в&се",,"None",,"All",,"Outlook Group",,""
"From",,"Від",,"None",,"All",,"Outlook Group",,""
"Select Names",,"Вібир імен",,"None",,"All",,"Outlook Group",,""
"To",,"Кому",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account",,"Обліковий запис служби Outlook Mobile",,"None",,"All",,"Outlook Group",,""
"Mobile Service Accounts",,"Облікові записи мобільного зв'язку",,"None",,"All",,"Outlook Group",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Можна додати або видалити обліковий запис. Також можна виділити обліковий запис та змінити його настройки.",,"None",,"All",,"Outlook Group",,""
"Outlook Mobile Service Account Manager",,"Диспетчер облікових записів мобільного зв'язку Outlook Mobile",,"None",,"All",,"Outlook Group",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,""Введіть ім'я для &посилання на цей обліковий запис. Наприклад: ""Робота"" або ""Служба текстових повідомлень"""",,"None",,"All",,"Outlook Group",,""
"Account Settings",,"Параметри облікового запису",,"None",,"All",,"Outlook Group",,""
"Complete each step to create and activate your text messaging account.",,"Виконайте кожен крок, щоб створити та активувати обліковий запис для надсилання текстових повідомлень.",,"None",,"All",,"Outlook Group",,""
"Another dialog for mobile message account setting is running.\nClose the dialog, and then try again.",,"Відкрито інше діалогове вікно настроювання облікового запису мобільних повідомлень.\nЗакрийте діалогове вікно та повторіть спробу.",,"None",,"All",,"Outlook Group",,""
"Step1: Sign up with a text messaging service provider",,"Крок 1. Реєстрація в постачальника послуг текстових повідомлень",,"None",,"All",,"Outlook Group",,""
"Text messages are sent through a third-party service that may charge you a fee that is separate from the charges from your mobile operator. You can review the terms and any associated charges before completing setup.",,"Текстові повідомлення надсилаються за допомогою сторонньої служби, яка може встановлювати плату за послуги додатково до вартості послуг вашого оператора мобільного зв'язку. Перед завершенням налаштування радимо переглянути умови надання послуг та дізнатися про всі пов'язані стягнення.",,"None",,"All",,"Outlook Group",,""
"Step2: Fill in account information",,"Крок 2. Заповнення відомостей облікового запису",,"None",,"All",,"Outlook Group",,""
