PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Альпійська",,"None",,"All",,"Publisher",,""
"Aqua",,"Кольору морської хвилі",,"None",,"All",,"Publisher",,""
"Berry",,"Ягоди",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Чорно-сіра",,"None",,"All",,"Publisher",,""
"Brown",,"Коричневий",,"None",,"All",,"Publisher",,""
"Burgundy",,"Бордова",,"None",,"All",,"Publisher",,""
"Cavern",,"Печера",,"None",,"All",,"Publisher",,""
"Citrus",,"Цитрус",,"None",,"All",,"Publisher",,""
"Clay",,"Глина",,"None",,"All",,"Publisher",,""
"Cranberry",,"Журавлина",,"None",,"All",,"Publisher",,""
"Crocus",,"Шафран",,"None",,"All",,"Publisher",,""
"Desert",,"Пустеля",,"None",,"All",,"Publisher",,""
"Field",,"Поле",,"None",,"All",,"Publisher",,""
"Fjord",,"Фіорд",,"None",,"All",,"Publisher",,""
"Floral",,"Квіти",,"None",,"All",,"Publisher",,""
"Garnet",,"Гранат",,"None",,"All",,"Publisher",,""
"Glacier",,"Льодовик",,"None",,"All",,"Publisher",,""
"Heather",,"Верес",,"None",,"All",,"Publisher",,""
"Iris",,"Ірис",,"None",,"All",,"Publisher",,""
"Island",,"Острів",,"None",,"All",,"Publisher",,""
"Ivy",,"Плющ",,"None",,"All",,"Publisher",,""
"Lagoon",,"Лагуна",,"None",,"All",,"Publisher",,""
"Lilac",,"Бузок",,"None",,"All",,"Publisher",,""
"Mahogany",,"Червоне дерево",,"None",,"All",,"Publisher",,""
"Marine",,"Море",,"None",,"All",,"Publisher",,""
"Maroon",,"Темно-червона",,"None",,"All",,"Publisher",,""
"Meadow",,"Лука",,"None",,"All",,"Publisher",,""
"Mist",,"Туман",,"None",,"All",,"Publisher",,""
"Mistletoe",,"Омела",,"None",,"All",,"Publisher",,""
"Moss",,"Мох",,"None",,"All",,"Publisher",,""
"Mountain",,"Гори",,"None",,"All",,"Publisher",,""
"Mulberry",,"Шовковиця",,"None",,"All",,"Publisher",,""
"Navy",,"Темно-синя",,"None",,"All",,"Publisher",,""
"Nutmeg",,"Мускатний горіх",,"None",,"All",,"Publisher",,""
"Olive",,"Оливкова",,"None",,"All",,"Publisher",,""
"Orchid",,"Орхідея",,"None",,"All",,"Publisher",,""
"Parrot",,"Папуга",,"None",,"All",,"Publisher",,""
"Pebbles",,"Галька",,"None",,"All",,"Publisher",,""
"Prairie",,"Степ",,"None",,"All",,"Publisher",,""
"Rain Forest",,"Дощ у лісі",,"None",,"All",,"Publisher",,""
"Monarch",,"Монарх",,"None",,"All",,"Publisher",,""
"Redwood",,"Червоне дерево",,"None",,"All",,"Publisher",,""
"Reef",,"Риф",,"None",,"All",,"Publisher",,""
"Sagebrush",,"Полин",,"None",,"All",,"Publisher",,""
"Sapphire",,"Сапфір",,"None",,"All",,"Publisher",,""
"Shamrock",,"Конюшина",,"None",,"All",,"Publisher",,""
"Sienna",,"Сієна",,"None",,"All",,"Publisher",,""
"Spice",,"Прянощі",,"None",,"All",,"Publisher",,""
"Sunrise",,"Схід сонця",,"None",,"All",,"Publisher",,""
"Sunset",,"Захід сонця",,"None",,"All",,"Publisher",,""
"Teal",,"Синьо-зелена",,"None",,"All",,"Publisher",,""
"Tidepool",,"Приплив",,"None",,"All",,"Publisher",,""
"Tropics",,"Тропіки",,"None",,"All",,"Publisher",,""
"Trout",,"Форель",,"None",,"All",,"Publisher",,""
"Vineyard",,"Виноградник",,"None",,"All",,"Publisher",,""
"Waterfall",,"Водоспад",,"None",,"All",,"Publisher",,""
"Wildflower",,"Польова квітка",,"None",,"All",,"Publisher",,""
"Black & White",,"Чорно-біла",,"None",,"All",,"Publisher",,""
"Green",,"Зелена",,"None",,"All",,"Publisher",,""
"Red",,"Червона",,"None",,"All",,"Publisher",,""
"Dark Blue",,"Темно-синя",,"None",,"All",,"Publisher",,""
"Harbor",,"Гавань",,"None",,"All",,"Publisher",,""
"Eggplant",,"Баклажан",,"None",,"All",,"Publisher",,""
"Grove",,"Гай",,"None",,"All",,"Publisher",,""
"Tuscany",,"Провінція",,"None",,"All",,"Publisher",,""
"Office",,"Office",,"None",,"All",,"Publisher",,""
"Trek",,"Валка",,"None",,"All",,"Publisher",,""
"Median",,"Пересічна",,"None",,"All",,"Publisher",,""
"Foundry",,"Ливарня",,"None",,"All",,"Publisher",,""
"Office 2007-2010",,"Office 2007–2010",,"None",,"All",,"Publisher",,""
"Urban",,"Урбаністична",,"None",,"All",,"Publisher",,""
"Concourse",,"Вестибюль",,"None",,"All",,"Publisher",,""
"Flow",,"Потік",,"None",,"All",,"Publisher",,""
"Module",,"Модуль",,"None",,"All",,"Publisher",,""
"Solstice",,"Сонцестояння",,"None",,"All",,"Publisher",,""
"Verve",,"Яскрава",,"None",,"All",,"Publisher",,""
"Aspect",,"Аспект",,"None",,"All",,"Publisher",,""
