PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"contact info",,"контактні дані",,"None",,"All",,"Skype - Mac",,""
"profile picture",,"аватар профілю",,"None",,"All",,"Skype - Mac",,""
"About",,"Про мене",,"None",,"All",,"Skype - Mac",,""
"Multiline Label",,"Multiline Label",,"None",,"All",,"Skype - Mac",,""
"Label",,"Label",,"None",,"All",,"Skype - Mac",,""
"mood message",,"опис настрою",,"None",,"All",,"Skype - Mac",,""
""Label - <a href=""http://apple.com"">Test</a>"",,""Label - <a href=""http://apple.com"">Test</a>"",,"None",,"All",,"Skype - Mac",,""
"Lists",,"Списки",,"None",,"All",,"Skype - Mac",,""
"Location",,"Місцезнаходження",,"None",,"All",,"Skype - Mac",,""
"Time",,"Час",,"None",,"All",,"Skype - Mac",,""
"Homepage",,"Домашня сторінка",,"None",,"All",,"Skype - Mac",,""
"Gender",,"Стать",,"None",,"All",,"Skype - Mac",,""
"Birthdate",,"Дата народження",,"None",,"All",,"Skype - Mac",,""
"Language",,"Мова",,"None",,"All",,"Skype - Mac",,""
"Back",,"Назад",,"None",,"All",,"Skype - Mac",,""
"Add Contact",,"Додати контакт",,"None",,"All",,"Skype - Mac",,""
"Copy",,"Копіювати",,"None",,"All",,"Skype - Mac",,""
"favorite",,"у списку улюблених",,"None",,"All",,"Skype - Mac",,""
"Contacts",,"Контакти",,"None",,"All",,"Skype - Mac",,""
"Item 3",,"Item 3",,"None",,"All",,"Skype - Mac",,""
"Other",,"Інший",,"None",,"All",,"Skype - Mac",,""
"Box",,"Box",,"None",,"All",,"Skype - Mac",,""
"Item 2",,"Item 2",,"None",,"All",,"Skype - Mac",,""
"Skype Certified",,"Сертифіковано Skype",,"None",,"All",,"Skype - Mac",,""
"Home",,"Домашній",,"None",,"All",,"Skype - Mac",,""
"Mobile",,"Мобільний",,"None",,"All",,"Skype - Mac",,""
"Item 1",,"Item 1",,"None",,"All",,"Skype - Mac",,""
