PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Open the more menu",,""Відкрити меню ""Додаткові можливості"""",,"None",,"All",,"Skype - iOS",,""
"More menu",,""Меню ""Додаткові можливості"""",,"None",,"All",,"Skype - iOS",,""
"Cancel",,"Скасувати",,"None",,"All",,"Skype - iOS",,""
"Recent calls and messages will appear here.",,"Тут відображатимуться нещодавні дзвінки та повідомлення.",,"None",,"All",,"Skype - iOS",,""
"Search",,"Пошук",,"None",,"All",,"Skype - iOS",,""
"Hide options",,"Приховати параметри",,"None",,"All",,"Skype - iOS",,""
"Show options",,"Показати параметри",,"None",,"All",,"Skype - iOS",,""
"Done",,"Готово",,"None",,"All",,"Skype - iOS",,""
"%lu %@ %lu",,"%lu %@ %lu",,"None",,"All",,"Skype - iOS",,""
"Copied",,"Скопійовано",,"None",,"All",,"Skype - iOS",,""
"Copying",,"Копіювання",,"None",,"All",,"Skype - iOS",,""
"Failed",,"Стався збій",,"None",,"All",,"Skype - iOS",,""
"Preparing",,"Підготовка",,"None",,"All",,"Skype - iOS",,""
"Saved",,"Збережено",,"None",,"All",,"Skype - iOS",,""
"Saving",,"Збереження",,"None",,"All",,"Skype - iOS",,""
"Search Giphy",,"Шукати анімоване зображення Giphy",,"None",,"All",,"Skype - iOS",,""
"& %d others",,"та ще %d осіб",,"None",,"All",,"Skype - iOS",,""
"%1$d out of %2$d selected",,"%1$d з %2$d вибрано",,"None",,"All",,"Skype - iOS",,""
"Skype version",,"Версія Skype",,"None",,"All",,"Skype - iOS",,""
"© 2003-2017 Skype & Microsoft\nPatent Pending",,"© Skype і корпорація Майкрософт, 2003–2017 рр.\nЗаявки на патент подано.",,"None",,"All",,"Skype - iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,""Назва Skype, відповідні товарні знаки й емблеми, а також символ ""S"" є товарними знаками компанії Skype або пов'язаних із нею організацій.\n\nУвага! Ця програма захищена законами про авторське право та міжнародними угодами. Незаконне відтворення або розповсюдження цієї програми або будь-якої її частини переслідується за законом і може тягнути суворе кримінальне й адміністративне покарання."",,"None",,"All",,"Skype - iOS",,""
"Privacy Policy",,"Політика конфіденційності",,"None",,"All",,"Skype - iOS",,""
"About",,"Про програму",,"None",,"All",,"Skype - iOS",,""
"Terms of Use",,"Умови використання",,"None",,"All",,"Skype - iOS",,""
"Third party notices",,"Сповіщення третьої сторони",,"None",,"All",,"Skype - iOS",,""
"Skype needs access to Contacts to display address book contacts. Go to Settings and enable Contacts to allow access.",,"Skype потрібен доступ до контактів для відображення контактів з адресної книги. Зайдіть в меню настройок та надайте дозвіл на доступ до контактів.",,"None",,"All",,"Skype - iOS",,""
"Your address book is empty",,"В адресній книзі немає контактів",,"None",,"All",,"Skype - iOS",,""
"Loading address book contacts...",,"Завантаження списку контактів з адресної книги...",,"None",,"All",,"Skype - iOS",,""
"No results found for %@",,""За запитом ""%@"" нічого не знайдено"",,"None",,"All",,"Skype - iOS",,""
"Search address book",,"Пошук в адресній книзі",,"None",,"All",,"Skype - iOS",,""
"Address book",,"Адресна книга",,"None",,"All",,"Skype - iOS",,""
"Invite to Skype",,"Запросити в Skype",,"None",,"All",,"Skype - iOS",,""
"To invite friends via email, set up your mail account in device settings first.",,"Щоб запросити друзів електронним листом, спершу вкажіть свій поштовий обліковий запис у настройках пристрою.",,"None",,"All",,"Skype - iOS",,""
"No mail account found",,"Поштового облікового запису не знайдено",,"None",,"All",,"Skype - iOS",,""
"To invite friends via SMS, check your SIM card is inserted properly and try again.",,"Щоб запросити друзів за допомогою SMS-повідомлення, перевірте, чи правильно вставлено вашу SIM-картку, та повторіть спробу.",,"None",,"All",,"Skype - iOS",,""
"No SIM card found",,"SIM-картку не знайдено",,"None",,"All",,"Skype - iOS",,""
"Standard SMS rates may apply",,"Може стягуватися стандартна плата за SMS",,"None",,"All",,"Skype - iOS",,""
"Via email",,"Електронним листом",,"None",,"All",,"Skype - iOS",,""
"Via home",,"На домашній",,"None",,"All",,"Skype - iOS",,""
"Via mobile",,"На мобільний",,"None",,"All",,"Skype - iOS",,""
"Via office",,"На робочий",,"None",,"All",,"Skype - iOS",,""
"Via other",,"На інший",,"None",,"All",,"Skype - iOS",,""
"Loading contacts…",,"Завантаження контактів…",,"None",,"All",,"Skype - iOS",,""
"Signing in…",,"Виконується вхід...",,"None",,"All",,"Skype - iOS",,""
"Updating…",,"Виконується оновлення…",,"None",,"All",,"Skype - iOS",,""
"Add to favorites",,"Додати до вподобань",,"None",,"All",,"Skype - iOS",,""
"Choose existing photo",,"Вибрати фото з галереї",,"None",,"All",,"Skype - iOS",,""
"My account",,"Мій обліковий запис",,"None",,"All",,"Skype - iOS",,""
"Add new favorites via the menu on any contact.",,"Додати нові улюблені контакти за допомогою меню будь-якого контакту.",,"None",,"All",,"Skype - iOS",,""
"Remove profile picture",,"Видалити зображення профілю",,"None",,"All",,"Skype - iOS",,""
"Remove from favorites",,"Видалити з уподобань",,"None",,"All",,"Skype - iOS",,""
"Sign out",,"Вийти",,"None",,"All",,"Skype - iOS",,""
"Take photo",,"Зробити фото",,"None",,"All",,"Skype - iOS",,""
"There was a problem opening your account, check your network connection and try again.",,"Не вдалося відкрити ваш обліковий запис. Перевірте з’єднання з Інтернетом і повторіть спробу.",,"None",,"All",,"Skype - iOS",,""
""Keep all your favorite people together, <a href=""add-favorites"">add favorites</a>."",,""Об'єднайте улюблені контакти в групу, <a href=""add-favorites"">додати до обраних</a>."",,"None",,"All",,"Skype - iOS",,""
"Add favorites",,"Додати вподобання",,"None",,"All",,"Skype - iOS",,""
"Add participants",,"Додати учасників",,"None",,"All",,"Skype - iOS",,""
"ADD:",,"ДОДАВАННЯ:",,"None",,"All",,"Skype - iOS",,""
"Invite friends to Skype",,"Запросити друзів до Skype",,"None",,"All",,"Skype - iOS",,""
"Already a Skype contact",,"Уже є у списку контактів",,"None",,"All",,"Skype - iOS",,""
"Search for people on Skype using their Skype Name, email or full name.",,"Шукайте людей у Skype за їх іменами у Skype, адресами електронної пошти або повними іменами.",,"None",,"All",,"Skype - iOS",,""
"No matches found",,"Нічого не знайдено",,"None",,"All",,"Skype - iOS",,""
"Add contact",,"Додати контакт",,"None",,"All",,"Skype - iOS",,""
"Add photo",,"Додати аватар",,"None",,"All",,"Skype - iOS",,""
"Your current call will end (please let the other person know) and your new group call will start",,"Поточний виклик буде завершено (повідомте про це співрозмовника) і розпочнеться новий груповий виклик",,"None",,"All",,"Skype - iOS",,""
"Call",,"Зателефонувати",,"None",,"All",,"Skype - iOS",,""
"New group call starting",,"Починається новий груповий виклик",,"None",,"All",,"Skype - iOS",,""
"Start a new group call",,"Початок нового групового виклику",,"None",,"All",,"Skype - iOS",,""
""has created a <a href=""%@"">group conversation.</a>"",,""створив(-ла) <a href=""%@"">груповий чат.</a>"",,"None",,"All",,"Skype - iOS",,""
"Add people",,"Додати контакти",,"None",,"All",,"Skype - iOS",,""
"Skype Verified",,"Перевірено Skype",,"None",,"All",,"Skype - iOS",,""
"Error",,"Помилка",,"None",,"All",,"Skype - iOS",,""
"Allow",,"Дозволити",,"None",,"All",,"Skype - iOS",,""
"Already a participant",,"Уже у списку учасників",,"None",,"All",,"Skype - iOS",,""
"Already on the call",,"Уже на зв’язку",,"None",,"All",,"Skype - iOS",,""
"Call",,"Виклик",,"None",,"All",,"Skype - iOS",,""
"Voice call",,"Голосовий виклик",,"None",,"All",,"Skype - iOS",,""
"Call phone numbers",,"Зателефонувати на номер",,"None",,"All",,"Skype - iOS",,""
"Dial pad",,"Панель набору номера",,"None",,"All",,"Skype - iOS",,""
"Start a new chat on Skype",,"Розпочати новий чат у Skype.",,"None",,"All",,"Skype - iOS",,""
"Start a new chat",,"Розпочати новий чат",,"None",,"All",,"Skype - iOS",,""
"Video call",,"Відеовиклик",,"None",,"All",,"Skype - iOS",,""
"Video Message",,"Відеоповідомлення",,"None",,"All",,"Skype - iOS",,""
"Rate app",,"Оцінити програму",,"None",,"All",,"Skype - iOS",,""
"Share the love and leave a rating in the App Store. It'll only take a moment.",,"Поділіться враженнями та залиште оцінку в App Store. Це забере лише хвилину.",,"None",,"All",,"Skype - iOS",,""
"Thank you!",,"Дякуємо!",,"None",,"All",,"Skype - iOS",,""
"Please check your network settings and try again.",,"Перевірте настройки мережі та повторіть спробу.",,"None",,"All",,"Skype - iOS",,""
"There was a problem signing in with your Microsoft account, please try again later.",,"Виникла проблема під час входу за допомогою облікового запису Microsoft. Повторіть спробу пізніше.",,"None",,"All",,"Skype - iOS",,""
"Your account has been suspended,\n<a href = 'https://go.skype.com/account.recovery.ios'>tap here for more information.</a>",,"Дію вашого облікового запису призупинено, <a href = 'https://go.skype.com/account.recovery.ios'>натисніть тут, щоб дізнатися більше</a>.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, try reinstalling Skype from the App Store.(%d)",,"Не вдалося увійти. Спробуйте перевстановити Skype з App Store.(%d)",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, as you have run out of storage space on your device.",,"Не вдалося увійти, оскільки на вашому пристрої бракує місця для зберігання.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please restart your device and try again.(%d)",,"Не вдалося увійти. Перезапустіть свій пристрій та повторіть спробу.(%d)",,"None",,"All",,"Skype - iOS",,""
"We didn’t recognize your Skype Name or password.",,"Ваше ім'я у Skype або пароль не розпізнано.",,"None",,"All",,"Skype - iOS",,""
"This email address is invalid.",,"Неприпустима адреса електронної пошти.",,"None",,"All",,"Skype - iOS",,""
"Please check and try again.",,"Перевірте її правильність і повторіть спробу.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is invalid.",,"Неприпустиме ім’я в Skype.",,"None",,"All",,"Skype - iOS",,""
"You have been signed out.",,"Сеанс завершений.",,"None",,"All",,"Skype - iOS",,""
"Your password has been changed, sign in to continue using Skype.",,"Ваш пароль змінено. Увійдіть, щоб продовжити користування Skype.",,"None",,"All",,"Skype - iOS",,""
"Unable to sign in, please try again later.",,"Помилка входу. Повторіть спробу пізніше.",,"None",,"All",,"Skype - iOS",,""
"You cannot sign in to Skype as you do not meet the minimum age limit for your country/region.",,"Для входу у Skype за допомогою цього облікового запису Microsoft, ваш вік повинен відповідати обмеженням для вашої країни або регіону.",,"None",,"All",,"Skype - iOS",,""
"This Skype Name is already taken.",,"Це ім'я у Skype вже зайняте.",,"None",,"All",,"Skype - iOS",,""
"Please enter a new one.",,"Введіть інше ім’я.",,"None",,"All",,"Skype - iOS",,""
"You've tried to sign in too many times.",,"Здійснено забагато невдалих спроб входу.",,"None",,"All",,"Skype - iOS",,""
"Please try again later.",,"Повторіть спробу пізніше.",,"None",,"All",,"Skype - iOS",,""
"This password is invalid.",,"Неприпустимий пароль.",,"None",,"All",,"Skype - iOS",,""
"This version of Skype is not supported.",,"Ця версія Skype не підтримується.",,"None",,"All",,"Skype - iOS",,""
"Update to the latest version of Skype to continue.",,"Щоб продовжити, встановіть найновішу версію Skype.",,"None",,"All",,"Skype - iOS",,""
"New contact request from %@.",,"Новий запит на додавання до списку контактів від користувача %@.",,"None",,"All",,"Skype - iOS",,""
"Call from %@",,"Виклик від користувача %@",,"None",,"All",,"Skype - iOS",,""
"Group call from %@",,"Запрошення на конференцію від користувача %@",,"None",,"All",,"Skype - iOS",,""
"Missed group call from %@",,"Пропущено конференцію з користувачем %@",,"None",,"All",,"Skype - iOS",,""
"Missed call from %@.",,"Пропущено виклик від користувача %@.",,"None",,"All",,"Skype - iOS",,""
"Video message from %@.",,"Відеоповідомлення від користувача %@.",,"None",,"All",,"Skype - iOS",,""
