PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"місяць",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"хвилину",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d міс.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d хв.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"день",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d дн.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"через %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"годину",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d год.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"%s тому",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"кілька секунд",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"рік",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d рр.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"Неможливо авторизувати вас для цього розділу запитань і відповідей. Вийдіть і зайдіть знову, використовуючи коректний обліковий запис.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"Не вдалося знайти розділ запитань і відповідей.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"додати відповідь",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"усі",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"оголошення",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"анонімний користувач",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"оголошення",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"повідомлення надіслано.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"запитання додано.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"запитання опубліковано.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"відповідь.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"response added.",,"відповідь додано.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"total question count.",,"загальна кількість запитань.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread question count.",,"кількість непрочитаних запитань.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"this message was broadcasted",,"це повідомлення було опубліковане",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Question from {0}",,"Запитання від користувача {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply from {0}",,"відповідь від користувача {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"tabs",,"вкладки",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask",,"запитати",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask anonymously",,"запитати анонімно",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask as",,"запитати як",,"None",,"All",,"Skype Cast Q&A 2016",,""
"broadcast",,"публікувати",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message to broadcast",,"повідомлення для публікування",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add the response",,"додайте відповідь",,"None",,"All",,"Skype Cast Q&A 2016",,""
"cancel",,"скасувати",,"None",,"All",,"Skype Cast Q&A 2016",,""
"close qna",,"закрити розділ запитань і відповідей",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this announcement?",,"Справді видалити це оголошення?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Announcement",,"Видалення оголошення",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this post?",,"Справді видалити цей допис?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Post",,"Видалення допису",,"None",,"All",,"Skype Cast Q&A 2016",,""
"delete",,"видалити",,"None",,"All",,"Skype Cast Q&A 2016",,""
"edited by a moderator",,"відредаговано модератором",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unexpected error. Please reload the page to access Q&A.",,"Неочікувана помилка. Перезавантажте сторінку, щоб отримати доступ до запитань і відповідей.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"hide read",,"приховати прочитані",,"None",,"All",,"Skype Cast Q&A 2016",,""
"include user name",,"показати ім’я користувача",,"None",,"All",,"Skype Cast Q&A 2016",,""
"false",,"false",,"None",,"All",,"Skype Cast Q&A 2016",,""
