PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Your group name must consist of more than just identical letters",,"Ім’я групи не може складатися лише з однакових літер",,"None",,"All",,"Skype Manager",,""
"Group name is too long (max length 40 characters)",,"Задовге ім’я групи (максимальна довжина – 40 символів)",,"None",,"All",,"Skype Manager",,""
"Your group name cannot contain only numbers",,"Ім’я групи не може складатися лише з цифр",,"None",,"All",,"Skype Manager",,""
"Group name is too short (min length 2 characters)",,"Закоротке ім’я групи (мінімальна довжина – 2 символи)",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to Saudi Arabian tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for Saudi Arabia customers purchases of Skype paid products.",,"Відповідно до останніх змін податкового законодавства Саудівської Аравії з 1 січня 2018 року покупки платних продуктів Skype користувачами із Саудівської Аравії обкладатимуться податком на додану вартість (ПДВ).",,"None",,"All",,"Skype Manager",,""
"Due to recent changes to United Arab Emirates tax requirements, from 1st January 2018 Skype will include Value Added Tax (VAT) for United Arab Emirates customers purchases of Skype paid products.",,"Відповідно до останніх змін податкового законодавства Об’єднаних Арабських Еміратів із 1 січня 2018 року покупки платних продуктів Skype користувачами з ОАЕ обкладатимуться податком на додану вартість (ПДВ).",,"None",,"All",,"Skype Manager",,""
"Allocated to",,"Надано користувачам",,"None",,"All",,"Skype Manager",,""
"Amount",,"Сума",,"None",,"All",,"Skype Manager",,""
"Group",,"Група",,"None",,"All",,"Skype Manager",,""
"Destination",,"Напрямок",,"None",,"All",,"Skype Manager",,""
"Email",,"Електронна пошта",,"None",,"All",,"Skype Manager",,""
"Skype Name",,"Ім’я в Skype",,"None",,"All",,"Skype Manager",,""
"Member",,"Учасник",,"None",,"All",,"Skype Manager",,""
"Outbound call",,"Вихідний виклик",,"None",,"All",,"Skype Manager",,""
"Conference",,"Конференція",,"None",,"All",,"Skype Manager",,""
"Call Forwarded",,"Переадресований виклик",,"None",,"All",,"Skype Manager",,""
"Skype To Go call",,"Виклик Skype To Go",,"None",,"All",,"Skype Manager",,""
"Transferred",,"Перенапаравлено",,"None",,"All",,"Skype Manager",,""
"Unknown",,"Невідомо",,"None",,"All",,"Skype Manager",,""
"(forwarded: {FORWARDED_TO})",,"(переадресовано: {FORWARDED_TO})",,"None",,"All",,"Skype Manager",,""
"From: {CALLER_NUMBER} {LINE_BREAK}To: {CALLED_NUMBER}",,"Від: {CALLER_NUMBER} {LINE_BREAK}До: {CALLED_NUMBER}",,"None",,"All",,"Skype Manager",,""
"Inbound call to Skype Number",,"Вхідний виклик на Skype-номер",,"None",,"All",,"Skype Manager",,""
"Forwarded Inbound call",,"Переадресований вхідний виклик",,"None",,"All",,"Skype Manager",,""
"Skype Number will be available in a few minutes.",,"Skype-номер буде доступний за кілька хвилин.",,"None",,"All",,"Skype Manager",,""
"Subscription will be available in a few minutes.",,"Передплата буде доступна за кілька хвилин.",,"None",,"All",,"Skype Manager",,""
"Less than previous month",,"Менше, ніж попереднього місяця",,"None",,"All",,"Skype Manager",,""
"More than previous month",,"Більше, ніж попереднього місяця",,"None",,"All",,"Skype Manager",,""
