PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Чат",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Це повідомлення відредаговано.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,""Перейти до команди ""{0}"", каналу ""{1}"""",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Залишено згадку про канал",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Залишено згадку про команду",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Вас згадали",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Повідомлення скопійовано",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Повідомлення видалено",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Повідомлення сподобалося",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Повідомлення не сподобалося",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Для цього користувача вимкнуто звук.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Звук вимкнуто для вибраного користувача",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Звук увімкнуто для вибраного користувача",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"адреса електронної пошти",,"Text",,"All",,"SkypeSpaces - iOS",,""
