PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Add channel",,"Додати канал",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Add member",,"Додати учасника",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Audio",,"Звук",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Audio, echo, noise...",,"Немає звуку, відлуння, шуми…",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Speech wasn\'t natural or sounded distorted",,"Голос звучав неприродно або спотворено",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The call ended unexpectedly",,"Виклик неочікувано перервався",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard an echo in the call  ",,"Мені було чути відлуння під час виклику  ",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"We kept interrupting each other",,"Ми весь час переривали один одного",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I could not invite someone into the call​",,"Мені не вдавалося запросити інших користувачів до виклику",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Volume was low",,"Звук був дуже тихим",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t hear any sound",,"Мені нічого не було чути",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The other side couldn\'t hear any sound ",,"Співрозмовнику нічого не було чути",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I heard noise in the call",,"Мені було чути шум під час виклику",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"People had trouble joining the call​",,"Під час спроби приєднатися до виклику в користувачів виникли ускладнення",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Feedback",,"Відгук про якість зв’язку",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Call Rating",,"Оцінка якості зв’язку",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d star",,"%1$d зірочка",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Rating Star",,"Оцінка в зірочках",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$d stars",,"Зірочок: %1$d",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group collapsed",,""Група ""%1$s"", згорнуто"",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s group expanded",,""Група ""%1$s"", розгорнуто"",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s selected for feedback",,"%1$s, вибрано для зворотного зв’язку",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"%1$s not selected for feedback",,"%1$s, не вибрано для зворотного зв’язку",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Presentation",,"Презентація",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No presentation, kept freezing, large delay...",,"Презентація не відображається, завмирає, відображається з великою затримкою…",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"I couldn\'t see any presented content",,"Мені не було видно вміст, який демонстрували інші користувачі",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"There was a large delay in the presented content",,"Виникла значна затримка під час демонстрування вмісту",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presented content kept freezing",,"Вміст, який демонстрували інші користувачі, увесь час завмирав",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The image quality of the presented content was poor",,"Вміст, який демонстрували інші користувачі, відображався в низькій якості",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"The presentation stopped unexpectedly",,"Презентація неочікувано перервалася",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Link not supported.You can not open this link on the mobile app.Please open it on the desktop or web app.",,"Посилання не підтримується й не відкривається в мобільній програмі. Відкрийте його в класичній або веб-програмі.",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is restored!",,"Чат відновлено!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Select number",,"Виберіть номер",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Chat is hidden!",,"Чат приховано!",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video",,"Відео",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"No Video, poor quality, video stopped...",,"Немає відео, низька якість, зупинка відео…",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Video kept freezing",,"Відео весь час завмирало",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
"Image quality was poor",,"Якість зображення була низькою",,"AppData",,"All",,"Skype Spaces for Android 2016",,""
