PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Увага! Ця сторінка відображається через встановлену позначку налагодження",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Get our Win32 app.",,"Ми плануємо списати цю програму 29 листопада 2018 р. Завантажте версію Win32.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Please bookmark our Web App and continue using Teams.",,"Ми плануємо списати цю програму 29 листопада 2018 р. Додайте закладку веб-програми та продовжуйте використовувати Teams.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Download now!",,"Завантажити зараз",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Go to Web App!",,"Перейти до веб-програми",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Сталася помилка…",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"{1} програму успішно оновлено до версії {0}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"Програму оновлено",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Не вдалося підключитися до постачальника облікового запису. Перевірте підключення та спробуйте знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Неочікувані облікові дані користувача. Спробуйте ввійти знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Отримано недійсний маркер. Спробуйте знову пізніше.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Не вдалося завершити автентифікацію через проблему зі станом програми. Спробуйте знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Помилка автентифікації.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"Отримано маркер автентифікації, термін дії якого минув. Спробуйте ввійти знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Сталася помилка автентифікації через параметри користувача.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"Програмі бракує важливих параметрів автентифікації. Переконайтеся, що ви використовуєте найновішу версію.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"Сталася помилка під час автентифікації постачальника облікового запису.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your connection is not reliable enough to authenticate. Please check your connection including any VPNs and try again.",,"Ваше підключення недостатньо надійне для автентифікації. Перевірте підключення та будь-які можливі мережі VPN і спробуйте знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Requested a silent authentication token, but prompt is required. Please try to log in again.",,"Надіслано запит на маркер автоматичної автентифікації, але вимагається системне повідомлення. Спробуйте ввійти знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an issue while the app was resuming. Please try again.",,"Не вдалося завершити автентифікацію через проблему під час відновлення роботи програми. Спробуйте знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication request was canceled. Please try to log in again.",,"Запит на автентифікацію скасовано. Спробуйте ввійти знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Web Account Manager failed to authenticate.",,"Сталася помилка автентифікації диспетчера облікових записів в Інтернеті.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication was blocked by Windows Information Protection policy. For more information, contact your system administrator.",,"Автентифікацію заблоковано за політикою Захисту даних у Windows. По додаткові відомості зверніться до системного адміністратора.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications being displayed only when the call is active (focused).",,"Щоб отримувати сповіщення про виклики та миттєві повідомлення, потрібно дозволити фонову активність. Якщо відхилити цей запит, сповіщення відображатимуться тільки під час активного виклику.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications not being displayed when the device is low on battery.",,"Щоб отримувати сповіщення про виклики та миттєві повідомлення, потрібно дозволити фонову активність. Якщо відхилити цей запит, сповіщення не відображатимуться, коли в акумулятора пристрою низький заряд.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"For the best experience, please allow Microsoft Teams to run as a background app. Click here to toggle this setting on.",,"Щоб покращити роботу, дозвольте Microsoft Teams працювати у фоновому режимі. Клацніть тут, щоб увімкнути цей параметр.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We need your help.",,"Нам потрібна ваша допомога.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We're running into some issues running in the background. Click here to restart the app.",,"Під час роботи у фоновому режимі виникли проблеми. Клацніть тут, щоб перезапустити програму.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We ran into a problem.",,"Сталася помилка.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub for Dev",,"Microsoft Teams для Surface Hub для розробників",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 for Dev",,"Microsoft Teams для Surface Hub, версія 2, для розробників",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (Dev)",,"Microsoft Teams для Surface Hub (розробникам)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 (Dev)",,"Microsoft Teams для Surface Hub, версія 2 (розробникам)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Devspaces",,"Microsoft Teams для Devspaces",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (Devspaces)",,"Microsoft Teams (Devspaces)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Windows 10 S (Alpha)",,"Microsoft Teams для Windows 10 S (альфа)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (Dogfood)",,"Microsoft Teams для Surface Hub (робоча версія)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub V2 (Dogfood)",,"Microsoft Teams для Surface Hub, версія 2 (робоча версія)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Internal",,"Microsoft Teams для Internal",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (Internal)",,"Microsoft Teams (Internal)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Preview Build for Microsoft Teams",,"Збірка для оцінювання Microsoft Teams",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (Preview)",,"Microsoft Teams (підготовча версія)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Production Build for Microsoft Teams",,"Виробнича збірка Microsoft Teams",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Production Build for Microsoft Teams for Surface Hub",,"Виробнича збірка Microsoft Teams для Surface Hub",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub",,"Microsoft Teams для Surface Hub",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Production Build for Microsoft Teams for Surface Hub 2",,"Виробнича збірка Microsoft Teams для Surface Hub 2",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub 2",,"Microsoft Teams для Surface Hub 2",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Windows 10 S (Preview)",,"Microsoft Teams для Windows 10 S (підготовча версія)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for TAP",,"Microsoft Teams для TAP",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub for TAP",,"Microsoft Teams для Surface Hub для TAP",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Microsoft Teams for Surface Hub (TAP)",,"Microsoft Teams для Surface Hub (TAP)",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Device credentials could not be retrieved.",,"Не вдалось отримати облікові дані пристрою.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"You might be running into performance issues. Click here to restart the app.",,"Схоже, виникла проблема продуктивності. Натисніть тут, щоб перезапустити програму.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Initialization Error",,"Помилка ініціалізації.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We were unable to deliver your message. Please open the app and try again.",,"Не вдалося доставити повідомлення. Відкрийте програму та спробуйте знову.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Message delivery failed",,"Помилка доставки повідомлення",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Available",,"Доступний",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Away",,"Немає на місці",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Be right back",,"Зараз повернуся",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Busy",,"Зайнятий",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Do not disturb",,"Не турбувати",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"In a call",,"Розмовляю по телефону",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Log out from the app",,"Вихід із програми.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Log out",,"Вийти",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Start a new chat",,"Розпочати новий чат",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"New chat",,"Створити чат",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Presenting",,"Доповідаю",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Quit the app",,"Закриття програми.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Quit",,"Закрити",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Open your settings",,"Відкриття параметрів.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Settings",,"Параметри",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Update your status",,"Оновити статус",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Status",,"Статус",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The app is not currently accessible for you. In the meantime, download a different version of Teams or use the web app.",,"Зараз ця програма для вас не доступна. Тим часом завантажте іншу версію Teams або скористайтеся веб-програмою.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Looks like you don't have access to this version of Teams yet. Check back soon!",,"Схоже, у вас ще немає доступу до цієї версії Teams. Повертайтеся незабаром.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
