PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"What's New",,"Що нового",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"All rights reserved.",,"Усі права захищені.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About this version",,"Про цю версію",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"About",,"Інформація",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with audio only",,"Прийняти вхідний виклик лише з аудіозв’язком",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with audio only",,"Прийняти лише з аудіо",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept incoming call with video",,"Прийняти вхідний виклик із відеозв’язком",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Accept with video",,"Прийняти з відео",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
""Alternatively, click ""Create Account"" to create a new Microsoft account."",,""Або натисніть кнопку ""Створити обліковий запис"", щоб створити новий обліковий запис Microsoft."",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"No Microsoft account is associated with the email provided. Please check and try again.",,"Немає облікового запису Microsoft, пов’язаного з указаною адресою електронної пошти. Перевірте й повторіть спробу.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Forgot to include someone? No problem - simply add them to the chat here",,"Забули когось включити? Просто додайте їх до цього чату.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Add more people",,"Додайте інших користувачів",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Save to local address book",,"Зберегти в локальній адресній книзі",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
"Another user has enabled Skype diagnostic and error reports on this device. These reports are used to troubleshoot issues and may contain personal information such as your name, profile details and chat content.\r\n\r\nIt is recommended that you turn off these reports if you're not experiencing any issues as reports are continuously collected in the background and may affect performance.\r\n\r\nWould you like to disable diagnostic and error reports? Skype will quit and reports will be disabled the next time you launch the app.",,"Інший користувач активував діагностику та звіти про помилки Skype на цьому пристрої. Ці звіти використовуються для виправлення неполадок і можуть містити особисту інформацію, наприклад ваше ім’я, дані профілю та вміст чатів.\r\n\r\nРекомендуємо вимкнути ці звіти, якщо у вас не виникає проблем, оскільки збір інформації для звітів триває у фоновому режимі й може вплинути на швидкодію програми.\r\n\r\nВимкнути діагностику та звіти про помилки? Skype закриється, а звіти вимкнуться під час наступного запуску програми.",,"Text",,"All",,"Skype Universal Windows Platform (UWP) application",,""
