PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Share button language",,""Мова кнопки ""Поділитися"""",,"None",,"All",,"Skype Web App",,""
"Show share button at",,""Розташування кнопки ""Поділитися"""",,"None",,"All",,"Skype Web App",,""
"both bottom and top",,"унизу та вгорі",,"None",,"All",,"Skype Web App",,""
"bottom of article",,"унизу статті",,"None",,"All",,"Skype Web App",,""
"top of article",,"угорі статті",,"None",,"All",,"Skype Web App",,""
"Button style",,"Вигляд кнопки",,"None",,"All",,"Skype Web App",,""
"Circle Icon",,"Круглий значок",,"None",,"All",,"Skype Web App",,""
"Large Share",,""Велика кнопка ""Поділитися"""",,"None",,"All",,"Skype Web App",,""
"Small Share",,""Маленька кнопка ""Поділитися"""",,"None",,"All",,"Skype Web App",,""
"Square Icon",,"Квадратний значок",,"None",,"All",,"Skype Web App",,""
"Enable share button",,""Увімкнути кнопку ""Поділитися"""",,"None",,"All",,"Skype Web App",,""
"Learn more, check out the {href_start}FAQ{href_end}.",,"Дізнайтеся більше, переглянувши {href_start}розділ запитань і відповідей{href_end}.",,"None",,"All",,"Skype Web App",,""
