PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"about",,"про програму",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"About third party components",,"Про компоненти сторонніх постачальників",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Too many results; try refining your search.",,"Забагато результатів. Спробуйте уточнити пошук.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"We can't connect to the server. Please try again later.",,"Не вдалося підключитися до сервера. Повторіть спробу пізніше.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"No results",,"Результатів немає",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Please sign in to search the company directory.",,"Увійдіть, щоб шукати в каталозі компанії.",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Searching the company directory...",,"Пошук у каталозі компанії...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Accept",,"Прийняти",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Important",,"Важливо",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Sensitive",,"Конфіденційно",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Unread message",,"Непрочитане повідомлення",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Select status",,"Вибір стану",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Swipe down to dismiss",,"Проведіть пальцем вниз, щоб відхилити",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on Bluetooth",,"увімкнути Bluetooth",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"turn on speaker",,"увімкнути динамік",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"urgent interuptions only",,"турбувати лише за крайньої потреби",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a call",,"розмовляю по телефону",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a conference call",,"на телефонній конференції",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"in a meeting",,"на нараді",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"inactive",,"неактивний",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"off work",,"не на роботі",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out of office",,"не на роботі",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"out to lunch",,"обідаю",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"presenting",,"на презентації",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"Add Contact",,"Додати контакт",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"ADD TO GROUP",,"ДОДАТИ ДО ГРУПИ",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"You've been admitted. We're calling you now...",,"Вас прийнято. Зараз ми викликаємо вас...",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
"All Groups",,"Усі групи",,"Text",,"All",,"Skype for Business for Windows Phone 2016",,""
