PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"In Progress",,"Триває",,"None",,"All",,"Skype for Business for iOS",,""
"No thanks, continue to calendar",,"Ні, дякую, перейти до календаря",,"None",,"All",,"Skype for Business for iOS",,""
"Get Outlook for iOS",,"Отримати Outlook для iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Outlook for iOS",,"Outlook для iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Use Outlook to access all your Skype Meetings with just a tap",,"Відкривайте наради Skype лише одним натисканням завдяки Outlook",,"None",,"All",,"Skype for Business for iOS",,""
"days",,"дн.",,"None",,"All",,"Skype for Business for iOS",,""
"day",,"день",,"None",,"All",,"Skype for Business for iOS",,""
"hours",,"год.",,"None",,"All",,"Skype for Business for iOS",,""
"hour",,"година",,"None",,"All",,"Skype for Business for iOS",,""
"minutes",,"хв.",,"None",,"All",,"Skype for Business for iOS",,""
"minute",,"хвилина",,"None",,"All",,"Skype for Business for iOS",,""
"seconds",,"сек.",,"None",,"All",,"Skype for Business for iOS",,""
"second",,"секунда",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"дн.",,"None",,"All",,"Skype for Business for iOS",,""
"d",,"день",,"None",,"All",,"Skype for Business for iOS",,""
"h",,"год.",,"None",,"All",,"Skype for Business for iOS",,""
"min",,"хв.",,"None",,"All",,"Skype for Business for iOS",,""
"s",,"с",,"None",,"All",,"Skype for Business for iOS",,""
"Call Ended",,"Виклик завершено",,"None",,"All",,"Skype for Business for iOS",,""
"Cancel",,"Скасувати",,"None",,"All",,"Skype for Business for iOS",,""
"Add participants",,"Додати учасників",,"None",,"All",,"Skype for Business for iOS",,""
"Your conversations will appear here",,"Тут відображатимуться ваші розмови",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to %@",,"Прпивітайтеся з користувачем %@",,"None",,"All",,"Skype for Business for iOS",,""
"Say hi to the group",,"Поспілкуйтеся з групою користувачів",,"None",,"All",,"Skype for Business for iOS",,""
"Type a message here",,"Поле для повідомлення",,"None",,"All",,"Skype for Business for iOS",,""
"Chat is available in Teams",,"Чат доступний у Teams",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and %d others are typing...",,"%@, %@ та ще %d користувачів вводять повідомлення...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is typing...",,"%@ вводить повідомлення...",,"None",,"All",,"Skype for Business for iOS",,""
"%@, %@ and one other are typing...",,"%@, %@ та ще один користувач вводять повідомлення...",,"None",,"All",,"Skype for Business for iOS",,""
"%@ and %@ are typing...",,"%@ та %@ вводять повідомлення...",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message: %@",,"Нам не вдалося надіслати це повідомлення: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Conference ended",,"Конференція завершилась",,"None",,"All",,"Skype for Business for iOS",,""
"Participants",,"Учасники",,"None",,"All",,"Skype for Business for iOS",,""
"Show Contact Profile",,"Показати профіль контакту",,"None",,"All",,"Skype for Business for iOS",,""
"Send message",,"Надіслати повідомлення",,"None",,"All",,"Skype for Business for iOS",,""
"Incoming",,"Вхідний виклик",,"None",,"All",,"Skype for Business for iOS",,""
"Outgoing",,"Вихідний виклик",,"None",,"All",,"Skype for Business for iOS",,""
"Add contact",,"Додати контакт",,"None",,"All",,"Skype for Business for iOS",,""
"Manage contact",,"Керування контактом",,"None",,"All",,"Skype for Business for iOS",,""
"%lu participants",,"Учасників: %lu",,"None",,"All",,"Skype for Business for iOS",,""
"Copy",,"Копіювати",,"None",,"All",,"Skype for Business for iOS",,""
"dismiss",,"відхилити",,"None",,"All",,"Skype for Business for iOS",,""
"add participants",,"додати учасників",,"None",,"All",,"Skype for Business for iOS",,""
"Preview feedback",,"Переглянути відгук",,"None",,"All",,"Skype for Business for iOS",,""
"Send email",,"Надіслати електронний лист",,"None",,"All",,"Skype for Business for iOS",,""
"See contact card",,"Переглянути картку контакту",,"None",,"All",,"Skype for Business for iOS",,""
"Backspace",,"Назад",,"None",,"All",,"Skype for Business for iOS",,""
"Show emoticons",,"Показати емограми",,"None",,"All",,"Skype for Business for iOS",,""
"emoticons",,"емограми",,"None",,"All",,"Skype for Business for iOS",,""
"Emoticon: %@",,"Емограма: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Angel",,"Янгол",,"None",,"All",,"Skype for Business for iOS",,""
"Angry",,"Злюся",,"None",,"All",,"Skype for Business for iOS",,""
"Bandit",,"Бандит",,"None",,"All",,"Skype for Business for iOS",,""
"Soccer",,"Футбол",,"None",,"All",,"Skype for Business for iOS",,""
"Beer",,"Пиво",,"None",,"All",,"Skype for Business for iOS",,""
"Bike",,"Велосипед",,"None",,"All",,"Skype for Business for iOS",,""
"Blushing",,"Соромлюся",,"None",,"All",,"Skype for Business for iOS",,""
"Bowing",,"Уклін",,"None",,"All",,"Skype for Business for iOS",,""
"Broken heart",,"Розбите серце",,"None",,"All",,"Skype for Business for iOS",,""
"Cake",,"Торт",,"None",,"All",,"Skype for Business for iOS",,""
"Call",,"Виклик",,"None",,"All",,"Skype for Business for iOS",,""
"Camera",,"Камера",,"None",,"All",,"Skype for Business for iOS",,""
"Can you talk?",,"Можеш говорити?",,"None",,"All",,"Skype for Business for iOS",,""
"Car",,"Авто",,"None",,"All",,"Skype for Business for iOS",,""
"Cash",,"Готівка",,"None",,"All",,"Skype for Business for iOS",,""
"Cat",,"Кіт",,"None",,"All",,"Skype for Business for iOS",,""
"Clapping",,"Овації",,"None",,"All",,"Skype for Business for iOS",,""
"Coffee",,"Кава",,"None",,"All",,"Skype for Business for iOS",,""
"Computer",,"Комп'ютер",,"None",,"All",,"Skype for Business for iOS",,""
"Confidential",,"Конфіденційно",,"None",,"All",,"Skype for Business for iOS",,""
"Cool",,"Крутелик",,"None",,"All",,"Skype for Business for iOS",,""
"Crying",,"Плачу",,"None",,"All",,"Skype for Business for iOS",,""
"Dancing",,"Танок",,"None",,"All",,"Skype for Business for iOS",,""
"Devil",,"Диявол",,"None",,"All",,"Skype for Business for iOS",,""
