PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account",,"Обліковий запис",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Available",,"На зв'язку",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Unable to change your profile picture, please try again.",,"Не вдалося змінити зображення вашого профілю, повторіть спробу.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close settings",,"Закрити налаштування",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Disable automatic Skype plugin updates",,"Вимкнути автоматичне оновлення компонента plug-in Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Display settings",,"Відобразити налаштування",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype plugin",,"Завантажити компонент plug-in Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable automatic Skype plugin updates",,"Увімкнути автоматичне оновлення компонента plug-in Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"The image type you tried to upload is not supported",,"Ви спробували завантажити зображення непідтримуваного типу",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Not available",,"Не на зв'язку",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications off",,"Вимкнути сповіщення",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Notifications on",,"Увімкнути сповіщення",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"off",,"вимкнено",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"on",,"увімкнено",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Automatic Skype plugin updates are",,"Автоматичні оновлення компонента plug-in Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Online presence set to available (notifications on)",,"Присутність в онлайні: доступний (сповіщення ввімкнено)",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign out",,"Вийти",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Upload a profile picture",,"Завантажити зображення профілю",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept the call using Alt + PgUp",,"Прийняти виклик за допомогою сполучення клавіш Alt + PgUp",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice",,"Прийняти виклик з аудіо",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with voice using Alt + Page Up",,"Щоб прийняти виклик з аудіо, натисніть Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with Video",,"Прийняти відеовиклик",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Accept with video using Ctrl + Alt + Page Up",,"Щоб прийняти виклик з відео, натисніть Ctrl + Alt + Page Up",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Your guest account will expire in 10 minutes.",,"Термін дії вашого гостьового облікового запису буде вичерпано за 10 хвилин.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
""Select ""add to contacts"" and they'll get your request."",,""Виберіть""додати до контактів"", і користувачеві буде надіслано ваш запит."",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Add Skype as a bookmark",,"Додайте Skype до закладок",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Already have an account?",,"Вже маєте обліковий запис?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"or",,"або",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You can call and chat with everyone here for free.",,"Тут ви можете безкоштовно телефонувати та обмінюватись повідомленнями з усіма.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Close",,"Закрити",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Computer says no…",,"Операцію відхилено комп'ютером…",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Continue",,"Продовжити",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads.",,"Використовуючи цей веб-сайт, ви надаєте згоду на застосування файлів cookie для аналізу і персоналізації вмісту та реклами.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"By using this site you agree to the use of cookies for analytics, personalised content and ads. {LINK_START}Read more about cookies{LINK_END}",,"Використовуючи цей веб-сайт, ви надаєте згоду на застосування файлів cookie для аналізу і персоналізації вмісту та реклами. {LINK_START}Детальніше про файли cookie{LINK_END}",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Copy link",,"Копіювати посилання",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"&copy; {YEAR} Skype and/or Microsoft.",,"&copy;{YEAR} © Skype і (або) корпорація Майкрософт (Microsoft Corporation).",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"&copy; {YEAR} Skype/Microsoft.",,"&copy;{YEAR} © Skype/корпорація Майкрософт (Microsoft Corporation).",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Create account",,"Створити обліковий запис",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"{LINK1_START}Create a new Skype account{LINK1_END} or {LINK2_START}sign in{LINK2_END} to permanently join this conversation.",,"{LINK1_START}Створіть новий обліковий запис Skype{LINK1_END} або {LINK2_START}увійдіть,{LINK2_END} щоб постійно користуватися цією розмовою.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Interested in richer and more integrated experience? Download the official desktop app.",,"Бракує функцій і можливостей? Завантажте офіційну класичну програму.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download",,"Завантажити",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Desktop Client",,"Завантажте класичний клієнт",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype",,"Завантажте Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype on the device that’s most convenient for you.",,"Завантажте Skype на пристрій, із яким спілкування буде найзручнішим для вас.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You need to enable javascript",,"Необхідно ввімкнути javascript",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable joining",,"Дозволити приєднання до розмови",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Explore Skype",,"Ознайомтеся зі Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQ",,"Запитання й відповіді",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"frequently asked questions",,"Запитання й відповіді",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQs",,"Запитання й відповіді",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Feedback",,"Відгуки",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Finished chatting?",,"Завершили спілкування у чаті?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get the app",,"Завантажити програму",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly.",,"Мерщій вертайтеся у Skype.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
