PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Account Settings",,"Cài đặt tài khoản",,"Text",,"All",,"Commerce Server",,""
"Sign up for Facebook now",,"Đăng ký Facebook ngay",,"Text",,"All",,"Commerce Server",,""
"Already have an account? <@link.facebookaccountexists>Sign in now</@>",,"Bạn đã có tài khoản? Hãy <@link.facebookaccountexists>Đăng nhập ngay</@>",,"Text",,"All",,"Commerce Server",,""
"Hi, ${TARGET_NAME}",,"Xin chào ${TARGET_NAME}!",,"Text",,"All",,"Commerce Server",,""
"<@link.facebookregister>Sign up for Facebook now</@>",,"<@link.facebookregister>Đăng ký Facebook ngay</@>",,"Text",,"All",,"Commerce Server",,""
"I set up a Facebook profile where I can post my pictures, videos and events and I want to add you as a friend so you can see it. First, you need to join Facebook! Once you join, you can also create your own profile.",,"Tôi đã thiết lập trang cá nhân Facebook, nơi tôi có thể đăng ảnh, video cũng như các sự kiện và tôi muốn thêm bạn làm bạn bè để bạn có thể xem trang cá nhân của tôi. Trước tiên, bạn cần tham gia Facebook! Sau khi tham gia, bạn cũng có thể tạo trang cá nhân của riêng mình.",,"Text",,"All",,"Commerce Server",,""
"Thanks, ${SOURCE_NAME}",,"Cảm ơn ${SOURCE_NAME}!",,"Text",,"All",,"Commerce Server",,""
"<@link.facebookfriends>See which of your Skype contacts are already on Facebook</@>",,"<@link.facebookfriends>Xem những liên hệ trên Skype đã sử dụng Facebook</@>",,"Text",,"All",,"Commerce Server",,""
"Close",,"Đóng",,"Text",,"All",,"Commerce Server",,""
"Notification",,"Thông báo",,"Text",,"All",,"Commerce Server",,""
"${SOURCE_NAME} invites you to join Facebook",,"${SOURCE_NAME} mời bạn tham gia Facebook",,"Text",,"All",,"Commerce Server",,""
"If you have any problems, visit our <@link.help>help section</@>.",,"Nếu bạn gặp bất kỳ sự cố nào, hãy truy cập <@link.help>phần trợ giúp</@> của chúng tôi.",,"Text",,"All",,"Commerce Server",,""
"Check out my profile on Facebook",,"Xem hồ sơ của tôi trên Facebook",,"Text",,"All",,"Commerce Server",,""
"Microsoft",,"Microsoft",,"Text",,"All",,"Commerce Server",,""
"Skype",,"Skype",,"Text",,"All",,"Commerce Server",,""
"Microsoft account",,"Tài khoản Microsoft",,"Text",,"All",,"Commerce Server",,""
"Skype Name",,"Tên Skype",,"Text",,"All",,"Commerce Server",,""
"US Minute bundle",,"Gói Phút tại Hoa Kỳ",,"Text",,"All",,"Commerce Server",,""
"If you're still having difficulty retrieving your password please contact a support agent via https://support.skype.com/support_request",,"Nếu bạn vẫn gặp khó khăn khi truy xuất mật khẩu của mình, vui lòng liên hệ với nhân viên hỗ trợ thông qua https://support.skype.com/support_request",,"Text",,"All",,"Commerce Server",,""
"If you're still having difficulty retrieving your Skype Name please contact a support agent via https://support.skype.com/support_request",,"Nếu bạn vẫn gặp khó khăn khi truy xuất Tên Skype của mình, vui lòng liên hệ với nhân viên hỗ trợ thông qua https://support.skype.com/support_request",,"Text",,"All",,"Commerce Server",,""
"Getting help for Skype",,"Nhận trợ giúp về Skype",,"Text",,"All",,"Commerce Server",,""
"Help",,"Trợ giúp",,"Text",,"All",,"Commerce Server",,""
"Here are your order details:",,"Dưới đây là chi tiết đơn đặt hàng của bạn:",,"Text",,"All",,"Commerce Server",,""
"If You Are Still Having Problems",,"Nếu bạn vẫn gặp sự cố",,"Text",,"All",,"Commerce Server",,""
