PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We're working on getting them back for you ASAP.",,"Chúng tôi đang nỗ lực để tải lại cho bạn sớm nhất có thể.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your activities.",,"Chúng tôi không thể tải hoạt động của bạn.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Stay on top of relevant activity, such as mentions, likes and replies.",,"Luôn cập nhật về hoạt động có liên quan, như lượt đề cập, lượt thích và tin nhắn trả lời.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll find notifications here.",,"Bạn sẽ tìm thấy thông báo ở đây.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your activities right now",,"Chúng tôi không thể cập nhật các hoạt động của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable channel",,"Đã thêm bạn vào một kênh không có",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Added you to an unavailable team",,"Đã thêm bạn vào một nhóm không có",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable channel",,"một kênh không có",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"an unavailable team",,"một nhóm không có",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Add to favorites",,"Thêm vào mục yêu thích",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Follow channel",,"Theo dõi kênh",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} added {1} to the conversation",,"{0} đã thêm {1} vào cuộc hội thoại",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Address",,"Địa chỉ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} and {1}",,"{0} và {1}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2}",,"{0}, {1} và {2}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0}, {1}, and {2} others",,"{0}, {1} và {2} người khác",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older activities right now",,"Chúng tôi không thể tải hoạt động cũ của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All channels",,"Tất cả kênh",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Channels",,"Kênh",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your teams right now",,"Chúng tôi không thể cập nhật nhóm của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"All teams",,"Tất cả các nhóm",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Always, even if I'm active on desktop",,"Luôn luôn, ngay cả khi tôi đang hoạt động trên máy tính để bàn",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams",,"Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dev)",,"Microsoft Teams (Dev)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (Dogfood)",,"Microsoft Teams (Dogfood)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams (TAP)",,"Microsoft Teams (TAP)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Teams",,"Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Bluetooth",,"Bluetooth",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Change audio output device",,"Thay đổi thiết bị phát âm thanh",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Device",,"Thiết bị",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Headset",,"Tai nghe",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Speaker",,"Loa",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign in again with your current password.",,"Vui lòng đăng nhập lại bằng mật khẩu hiện tại của bạn.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Microsoft Teams is now using modern authentication, a better, more secure way to sign in. Once you've signed in again, you won't need to re-enter credentials when you open any Office 365 application.",,"Microsoft Teams hiện đang sử dụng xác thực hiện đại, một cách tốt hơn và an toàn hơn để đăng nhập. Sau khi đăng nhập lại, bạn sẽ không cần phải nhập lại thông tin đăng nhập khi mở bất kỳ ứng dụng Office 365 nào.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You'll get modern authentication, a single, better, and more secure sign in to all your Office 365 apps.",,"Bạn sẽ nhận được xác thực hiện đại, một thông tin đăng nhập duy nhất, hiệu quả và an toàn hơn vào tất cả các ứng dụng Office 365.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please sign back in to Microsoft Teams",,"Vui lòng đăng nhập lại vào Microsoft Teams",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"({0} Guests)",,"({0} khách)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"(1 Guest)",,"(1 khách)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"{0} (Guest)",,"{0} (Khách)",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Back",,"Quay lại",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sent a card",,"Đã gửi thẻ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Hang up your current call before starting a new one.",,"Hãy gác máy cuộc gọi hiện tại của bạn trước khi bắt đầu một cuộc gọi mới.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Máy bận",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Cuộc gọi bị hủy bỏ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Cuộc gọi bị từ chối",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Cuộc gọi bị ngắt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"Cuộc gọi đã kết thúc",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Cuộc gọi đã kết thúc",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Cuộc gọi đã kết thúc {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Cuộc gọi đã kết thúc {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Không gọi được",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Cuộc gọi nhỡ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Cuộc gọi nhỡ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Nhấn để quay lại cuộc gọi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Cuộc gọi đang chờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Gọi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Cuộc gọi đã bắt đầu",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Đang gọi",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Rất tiếc, chúng tôi hiện không thể tìm kiếm liên hệ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Cuộc hội thoại",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Hãy thử @đề cập đến những người bạn muốn mời tham gia kênh này.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Xóa khỏi mục yêu thích",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Các tùy chọn khác cho kênh này",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"Chúng tôi không thể cập nhật kênh của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"Chúng tôi không thể tải kênh này ngay bây giờ.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"kênh",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"Chúng tôi không thể cập nhật cuộc hội thoại của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"Tab",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Thực hiện cuộc hội thoại riêng hai người và cuộc hội thoại nhóm cũng như cuộc gọi video.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Bắt đầu cuộc trò chuyện riêng.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your chats",,"Chúng tôi không thể tải các cuộc trò chuyện của bạn",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your chats right now",,"Chúng tôi không thể cập nhật cuộc trò chuyện của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't get your messages.",,"Chúng tôi không thể tải tin nhắn của bạn.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chat",,"Trò chuyện",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load your older messages right now",,"Chúng tôi không thể tải tin nhắn cũ của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"You",,"Bạn",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversation right now",,"Chúng tôi không thể cập nhật cuộc hội thoại của bạn ngay bây giờ",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Failed to send:",,"Không gửi được:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sending:",,"Đang gửi:",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Chats",,"Cuộc trò chuyện",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're getting things ready...",,"Chúng tôi đang chuẩn bị mọi thứ...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Please give us a sec...",,"Vui lòng đợi trong giây lát...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We'll be done soon...",,"Chúng tôi sẽ sớm hoàn tất...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Almost there...",,"Sắp xong rồi...",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"CLEAR LIST",,"XÓA DANH SÁCH",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Files",,"Tệp",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
