PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Propert&ies...",,"Th&uộc tính...",,"None",,"All",,"Outlook",,""
"C&ut",,"&Cắt",,"None",,"All",,"Outlook",,""
"&Copy",,"&Sao",,"None",,"All",,"Outlook",,""
"&Paste",,"&Dán",,"None",,"All",,"Outlook",,""
"&Delete",,"&Xóa",,"None",,"All",,"Outlook",,""
"Select &All",,"C&họn Tất cả",,"None",,"All",,"Outlook",,""
"From",,"Từ",,"None",,"All",,"Outlook",,""
"Select Names",,"Chọn Tên",,"None",,"All",,"Outlook",,""
"To",,"Đến",,"None",,"All",,"Outlook",,""
"Outlook Mobile Service Account",,"Tài khoản Dịch vụ Outlook Mobile",,"None",,"All",,"Outlook",,""
"Mobile Service Accounts",,"Tài khoản Dịch vụ Mobile",,"None",,"All",,"Outlook",,""
"You can add or remove an account. You can select an account, and then change its settings.",,"Bạn có thể thêm hoặc loại bỏ một tài khoản. Bạn có thể chọn một tài khoản,sau đó thay đổi thiết đặt của nó.",,"None",,"All",,"Outlook",,""
"Outlook Mobile Service Account Manager",,"Quản lý Tài khoản Dịch vụ Outlook Mobile",,"None",,"All",,"Outlook",,""
""Type the &name by which you want to refer to this account. For example: ""Work"" or ""Text Message Service"""",,""Gõ tên mà bạn muốn ám chỉ đến tài khoản &này. Ví dụ, ""Công việc"" hoặc ""Dịch vụ thông báo văn bản"""",,"None",,"All",,"Outlook",,""
"Account Settings",,"Thiết đặt Tài khoản",,"None",,"All",,"Outlook",,""
"Complete each step to create and activate your text messaging account.",,"Hoàn thành mỗi bước để tạo và kích hoạt tài khoản tin nhắn văn bản của bạn.",,"None",,"All",,"Outlook",,""
"Another dialog for mobile message account setting is running.\nClose the dialog, and then try again.",,"Một hộp thoại về các thiết đặt tài khoản thông báo mobile khác đang mở.\nĐóng hộp thoại, thử lại một lần nữa.",,"None",,"All",,"Outlook",,""
"Step1: Sign up with a text messaging service provider",,"Bước 1: Đăng ký với một tin nhắn văn bản đến nhà cung cấp dịch vụ",,"None",,"All",,"Outlook",,""
"Text messages are sent through a third-party service that may charge you a fee that is separate from the charges from your mobile operator. You can review the terms and any associated charges before completing setup.",,"Tin nhắn văn bản được gửi qua dịch vụ của bên thứ ba mà có thể bị tính phí riêng với phí từ nhà cung cấp dịch vụ di động của bạn. Bạn có thể duyệt lại các khoản mục và các khoản phí liên quan trước khi hoàn thành thiết lập.",,"None",,"All",,"Outlook",,""
"Step2: Fill in account information",,"Bước 2: Điền thông tin tài khoản",,"None",,"All",,"Outlook",,""
"Cannot get service information because of a problem connecting to the service.\nDo you want to use default settings (This account might not work)?",,"Không thể lấy thông tin dịch vụ do sự cố kết nối đến dịch vụ.\nBạn có muốn dùng các thiết đặt mặc định không (Tài khoản này có thể không làm việc)?",,"None",,"All",,"Outlook",,""
"Audio file (*.mid;*.amr)",,"Tệp âm thanh (*.mid;*.amr)",,"None",,"All",,"Outlook",,""
"Account Name",,"Tên Tài khoản",,"None",,"All",,"Outlook",,""
"Other User Information",,"Thông tin Người dùng Khác",,"None",,"All",,"Outlook",,""
"Service Information",,"Thông tin Dịch vụ",,"None",,"All",,"Outlook",,""
"Logon Information",,"Thông tin Đăng nhập",,"None",,"All",,"Outlook",,""
"%1/%2: %3 Events(next %4 hrs)",,"%1/%2: %3 Sự kiện(%4 giờ tới)",,"None",,"All",,"Outlook",,""
"%1/%2: %3 Event(next %4 hrs)",,"%1/%2: %3 Sự kiện(%4 giờ tới)",,"None",,"All",,"Outlook",,""
"%4-%5\r\n%1\r\n%3",,"%4-%5\r\n%1\r\n%3",,"None",,"All",,"Outlook",,""
"All day event\r\n%1\r\n%3",,"Sự kiện cả ngày\r\n%1\r\n%3",,"None",,"All",,"Outlook",,""
"%1/%2 Calendar Summary: No meetings or appointments.",,"Tóm tắt lịch biểu %1/%2: Không có cuộc hẹn hoặc họp.",,"None",,"All",,"Outlook",,""
"(No Location)",,"(Không có Vị trí)",,"None",,"All",,"Outlook",,""
"(No Subject)",,"(Không có Tiêu đề)",,"None",,"All",,"Outlook",,""
"%1/%2 Calendar Summary",,"Tóm tắt Lịch biểu %1/%2",,"None",,"All",,"Outlook",,""
"Calendar Summary",,"Tóm tắt Lịch biểu",,"None",,"All",,"Outlook",,""
"Querying for Outlook calendar events failed",,"Truy vấn các sự kiện của lịch biểu Outlook thất bại",,"None",,"All",,"Outlook",,""
"Sound:",,"Âm thanh:",,"None",,"All",,"Outlook",,""
"&Duration:",,"&Thời đoạn:",,"None",,"All",,"Outlook",,""
"Duration:",,"Thời đoạn:",,"None",,"All",,"Outlook",,""
"%s - Multimedia Message",,"%s - Thông báo Đa phương tiện",,"None",,"All",,"Outlook",,""
"Message %i",,"Thông báo %i",,"None",,"All",,"Outlook",,""
"Preview",,"Xem trước",,"None",,"All",,"Outlook",,""
"%s - Text Message",,"%s - Thông báo Văn bản",,"None",,"All",,"Outlook",,""
"Slide mode",,"Chế độ bản chiếu",,"None",,"All",,"Outlook",,""
"Non-slide mode",,"Chế độ Không-bản chiếu",,"None",,"All",,"Outlook",,""
"Message Template",,"Mẫu Thông báo",,"None",,"All",,"Outlook",,""
"Percentage of image area for mixed layouts",,"Phần trăm vùng ảnh cho các bố trí hỗn hợp",,"None",,"All",,"Outlook",,""
"Mobile Screen Resolution",,"Độ phân giải Màn hình Mobile",,"None",,"All",,"Outlook",,""
"Ch&ange...",,"T&hay đổi...",,"None",,"All",,"Outlook",,""
"&Send a calendar summary to a mobile device",,"Gửi tó&m tắt lịch biểu đến một thiết bị di động",,"None",,"All",,"Outlook",,""
"&Send reminders",,"&Gửi lời nhắc",,"None",,"All",,"Outlook",,""
"&Remember password",,"N&hớ mật khẩu",,"None",,"All",,"Outlook",,""
"Close the %s dialog box, and then try again.",,"Đóng hộp thoại %s, sau đó thử lại.",,"None",,"All",,"Outlook",,""
"Account",,"Tài khoản",,"None",,"All",,"Outlook",,""
"128 x 140=(128,140)",,"128 x 140=(128,140)",,"None",,"All",,"Outlook",,""
"128 x 128=(128,128)",,"128 x 128=(128,128)",,"None",,"All",,"Outlook",,""
"120 x 160=(120,160)",,"120 x 160=(120,160)",,"None",,"All",,"Outlook",,""
"120 x 140=(120,140)",,"120 x 140=(120,140)",,"None",,"All",,"Outlook",,""
"120 x 120=(120,120)",,"120 x 120=(120,120)",,"None",,"All",,"Outlook",,""
"96 x 128=(96,128)",,"96 x 128=(96,128)",,"None",,"All",,"Outlook",,""
"80 x 100=(80,100)",,"80 x 100=(80,100)",,"None",,"All",,"Outlook",,""
"65 x 96=(65,96)",,"65 x 96=(65,96)",,"None",,"All",,"Outlook",,""
"240 x 320=(240,320)",,"240 x 320=(240,320)",,"None",,"All",,"Outlook",,""
"220 x 176=(220,176)",,"220 x 176=(220,176)",,"None",,"All",,"Outlook",,""
"176 x 220=(176,220)",,"176 x 220=(176,220)",,"None",,"All",,"Outlook",,""
"160 x 128=(160,128)",,"160 x 128=(160,128)",,"None",,"All",,"Outlook",,""
"160 x 120=(160,120)",,"160 x 120=(160,120)",,"None",,"All",,"Outlook",,""
"140 x 128=(140,128)",,"140 x 128=(140,128)",,"None",,"All",,"Outlook",,""
"140 x 120=(140,120)",,"140 x 120=(140,120)",,"None",,"All",,"Outlook",,""
"128 x 160=(128,160)",,"128 x 160=(128,160)",,"None",,"All",,"Outlook",,""
"Custom size=(0,0)",,"Kích cỡ tùy chỉnh=(0,0)",,"None",,"All",,"Outlook",,""
"320 x 240=(320,240)",,"320 x 240=(320,240)",,"None",,"All",,"Outlook",,""
"Outlook Mobile Service",,"Dịch vụ Outlook Mobile",,"None",,"All",,"Outlook",,""
"R&emove",,"L&oại bỏ",,"None",,"All",,"Outlook",,""
"&Remove",,"L&oại bỏ",,"None",,"All",,"Outlook",,""
"Configure Service Options",,"Tùy chọn Cấu hình Dịch vụ",,"None",,"All",,"Outlook",,""
"Your organization does not allow you to use this service.",,"Tổ chức của bạn không cho phép bạn sử dụng dịch vụ này.",,"None",,"All",,"Outlook",,""
"This account name has been used. Enter a different name.",,"Tên tài khoản này đã được dùng. Hãy nhập một tên khác.",,"None",,"All",,"Outlook",,""
"Inserts the emoticon into the text message.",,"Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Smile. Inserts the emoticon into the text message.",,"Cười. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Embarrassed . Inserts the emoticon into the text message.",,"Bối rối. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Angry. Inserts the emoticon into the text message.",,"Tức giận. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Don't tell anyone. Inserts the emoticon into the text message.",,"Giữ bí mật. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Baring teeth. Inserts the emoticon into the text message.",,"Nhe răng. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Nerd. Inserts the emoticon into the text message.",,"Lập dị. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Sarcastic. Inserts the emoticon into the text message.",,"Mỉa mai. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Secret telling. Inserts the emoticon into the text message.",,"Thầm kín. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Sick. Inserts the emoticon into the text message.",,"Ốm. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"I don't know. Inserts the emoticon into the text message.",,"Tôi không biết. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Thinking. Inserts the emoticon into the text message.",,"Đang nghĩ. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Open-mouthed. Inserts the emoticon into the text message.",,"Cười to. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Party. Inserts the emoticon into the text message.",,"Tiệc tùng. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Eye-rolling. Inserts the emoticon into the text message.",,"Đảo mắt. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Sleepy. Inserts the emoticon into the text message.",,"Buồn ngủ. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Surprise! Inserts the emoticon into the text message.",,"Ngạc nhiên! Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"I don’t know. Inserts the emoticon into the text message.",,"Tôi không biết. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Surprised. Inserts the emoticon into the text message",,"Ngạc nhiên. Chèn biểu tượng cảm xúc vào tin nhắn văn bản",,"None",,"All",,"Outlook",,""
"Tongue out. Inserts the emoticon into the text message",,"Thè lưỡi. Chèn biểu tượng cảm xúc vào tin nhắn văn bản",,"None",,"All",,"Outlook",,""
"Wink. Inserts the emoticon into the text message.",,"Nháy mắt. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Sad. Inserts the emoticon into the text message.",,"Buồn. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Confused. Inserts the emoticon into the text message.",,"Ngượng. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Disappointed. Inserts the emoticon into the text message.",,"Thất vọng. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Crying. Inserts the emoticon into the text message.",,"Khóc. Chèn biểu tượng cảm xúc vào tin nhắn văn bản.",,"None",,"All",,"Outlook",,""
"Don't tell anyone=:-#",,"Giữ bí mật=:-#",,"None",,"All",,"Outlook",,""
"Baring teeth=8o|",,"Nhe răng=8o|",,"None",,"All",,"Outlook",,""
