PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"We have made some changes and this functionality is no longer supported.",,"Chúng tôi đã thực hiện một số thay đổi và chức năng này không còn được hỗ trợ.",,"None",,"All",,"Project",,""
"Work Management Service Private List",,"Danh sách Riêng của Dịch vụ Quản lý Công việc",,"None",,"All",,"Project",,""
"We couldn't update this task because your due date isn't formatted correctly. Try modifying your format and try again.",,"Chúng tôi không thể cập nhật nhiệm vụ này vì ngày hết hạn của bạn không được định dạng đúng. Hãy thử thay đổi định dạng và thử lại.",,"None",,"All",,"Project",,""
"ServiceApplication or URI must be specified when creating a proxy.",,"Cần xác định ServiceApplication hoặc URI khi tạo proxy.",,"None",,"All",,"Project",,""
"An item with this Identity could not be found.  Please provide a valid Identity.",,"Không thể tìm thấy mục có Định danh này.  Vui lòng cung cấp một Định danh hợp lệ.",,"None",,"All",,"Project",,""
"An application pool already exists with the name specified.  Please provide a different name.",,"Đã tồn tại nhóm ứng dụng trùng với tên vừa xác định.  Vui lòng cung cấp một tên khác.",,"None",,"All",,"Project",,""
"A service application with this name already exists. Please select another name.",,"Đã tồn tại ứng dụng dịch vụ với tên này. Vui lòng chọn một tên khác.",,"None",,"All",,"Project",,""
"We couldn't update this task because the value entered conflicts with another field. Modify your update and try again.",,"Chúng tôi không thể cập nhật nhiệm vụ này bởi vì giá trị đã nhập xung đột với một trường khác. Hãy thay đổi bản cập nhật của bạn và thử lại.",,"None",,"All",,"Project",,""
"Unknown Work Management Service Application identifier.  No Work Management Service Application could be found matching this ID.",,"Mã định danh Ứng dụng Dịch vụ Quản lý Công việc không xác định.  Không tìm thấy Ứng dụng Dịch vụ Quản lý Công việc nào trùng khớp với ID này.",,"None",,"All",,"Project",,""
"The application pool specified does not exist.",,"Nhóm ứng dụng đã xác định không tồn tại.",,"None",,"All",,"Project",,""
"This service application name contains invalid characters. Please select another name.",,"Tên của ứng dụng dịch vụ có chứa ký tự không hợp lệ. Vui lòng chọn một tên khác.",,"None",,"All",,"Project",,""
