PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Alpine",,"Núi cao",,"None",,"All",,"Publisher",,""
"Aqua",,"Xanh nước",,"None",,"All",,"Publisher",,""
"Berry",,"Berry",,"None",,"All",,"Publisher",,""
"Black & Gray",,"Đen & Xám",,"None",,"All",,"Publisher",,""
"Brown",,"Nâu",,"None",,"All",,"Publisher",,""
"Burgundy",,"Đỏ tía",,"None",,"All",,"Publisher",,""
"Cavern",,"Hang động",,"None",,"All",,"Publisher",,""
"Citrus",,"Giao diện Cam",,"None",,"All",,"Publisher",,""
"Clay",,"Đất sét",,"None",,"All",,"Publisher",,""
"Cranberry",,"Cây nam việt quất",,"None",,"All",,"Publisher",,""
"Crocus",,"Nghệ tây",,"None",,"All",,"Publisher",,""
"Desert",,"Sa mạc",,"None",,"All",,"Publisher",,""
"Field",,"Trường",,"None",,"All",,"Publisher",,""
"Fjord",,"Vịnh hẹp",,"None",,"All",,"Publisher",,""
"Floral",,"Hoa",,"None",,"All",,"Publisher",,""
"Garnet",,"Granat",,"None",,"All",,"Publisher",,""
"Glacier",,"Sông băng",,"None",,"All",,"Publisher",,""
"Heather",,"Cây thạch nam",,"None",,"All",,"Publisher",,""
"Iris",,"Cầu vồng",,"None",,"All",,"Publisher",,""
"Island",,"Đảo",,"None",,"All",,"Publisher",,""
"Ivy",,"Cây thường xuân",,"None",,"All",,"Publisher",,""
"Lagoon",,"Vũng ven biển",,"None",,"All",,"Publisher",,""
"Lilac",,"Tử đinh hương",,"None",,"All",,"Publisher",,""
"Mahogany",,"Màu Gụ",,"None",,"All",,"Publisher",,""
"Marine",,"Hàng hải",,"None",,"All",,"Publisher",,""
"Maroon",,"Nâu hạt dẻ",,"None",,"All",,"Publisher",,""
"Meadow",,"Đồng cỏ",,"None",,"All",,"Publisher",,""
"Mist",,"Sương mù",,"None",,"All",,"Publisher",,""
"Mistletoe",,"Cây tầm gửi",,"None",,"All",,"Publisher",,""
"Moss",,"Rêu",,"None",,"All",,"Publisher",,""
"Mountain",,"Núi",,"None",,"All",,"Publisher",,""
"Mulberry",,"Dâu tằm",,"None",,"All",,"Publisher",,""
"Navy",,"Xanh hải quân",,"None",,"All",,"Publisher",,""
"Nutmeg",,"Nhục đậu khấu",,"None",,"All",,"Publisher",,""
"Olive",,"Màu ôliu",,"None",,"All",,"Publisher",,""
"Orchid",,"Hoa lan",,"None",,"All",,"Publisher",,""
"Parrot",,"Con vẹt",,"None",,"All",,"Publisher",,""
"Pebbles",,"Sỏi",,"None",,"All",,"Publisher",,""
"Prairie",,"Đồng cỏ",,"None",,"All",,"Publisher",,""
"Rain Forest",,"Rừng Nhiệt đới",,"None",,"All",,"Publisher",,""
"Monarch",,"Monarch",,"None",,"All",,"Publisher",,""
"Redwood",,"Các loài cây gỗ đỏ",,"None",,"All",,"Publisher",,""
"Reef",,"Rặng san hô",,"None",,"All",,"Publisher",,""
"Sagebrush",,"Cây ngải trắng",,"None",,"All",,"Publisher",,""
"Sapphire",,"Màu Ngọc bích",,"None",,"All",,"Publisher",,""
"Shamrock",,"Cây chua me đất",,"None",,"All",,"Publisher",,""
"Sienna",,"Hung đỏ",,"None",,"All",,"Publisher",,""
"Spice",,"Gia vị",,"None",,"All",,"Publisher",,""
"Sunrise",,"Bình minh",,"None",,"All",,"Publisher",,""
"Sunset",,"Hoàng hôn",,"None",,"All",,"Publisher",,""
"Teal",,"Xanh cổ vịt",,"None",,"All",,"Publisher",,""
"Tidepool",,"Thủy triều",,"None",,"All",,"Publisher",,""
"Tropics",,"Nhiệt đới",,"None",,"All",,"Publisher",,""
"Trout",,"Cá hồi",,"None",,"All",,"Publisher",,""
"Vineyard",,"Vườn nho",,"None",,"All",,"Publisher",,""
"Waterfall",,"Thác nước",,"None",,"All",,"Publisher",,""
"Wildflower",,"Hoa dại",,"None",,"All",,"Publisher",,""
"Black & White",,"Đen & Trắng",,"None",,"All",,"Publisher",,""
"Green",,"Lục",,"None",,"All",,"Publisher",,""
"Red",,"Đỏ",,"None",,"All",,"Publisher",,""
"Dark Blue",,"Lam đậm",,"None",,"All",,"Publisher",,""
"Harbor",,"Cảng",,"None",,"All",,"Publisher",,""
"Eggplant",,"Cà tím",,"None",,"All",,"Publisher",,""
"Grove",,"Lùm cây",,"None",,"All",,"Publisher",,""
"Tuscany",,"Tuscany",,"None",,"All",,"Publisher",,""
"Office",,"Office",,"None",,"All",,"Publisher",,""
"Trek",,"Trek",,"None",,"All",,"Publisher",,""
"Median",,"Median",,"None",,"All",,"Publisher",,""
"Foundry",,"Foundry",,"None",,"All",,"Publisher",,""
"Office 2007-2010",,"Office 2007-2010",,"None",,"All",,"Publisher",,""
"Urban",,"Urban",,"None",,"All",,"Publisher",,""
"Concourse",,"Concourse",,"None",,"All",,"Publisher",,""
