PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Play",,"Phát",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Custom link",,"Mở liên kết Tùy chỉnh",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An error occurred while processing your request.",,"Đã xảy ra lỗi khi xử lý yêu cầu của bạn.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Not started",,"Chưa bắt đầu",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Leave",,"Rời",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Right panel tab for ",,"Tab pa-nen bên phải cho ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast will start in a moment",,"Truyền phát sẽ bắt đầu trong chốc lát",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the navigation dropdown menu",,"Bấm để bật/tắt menu điều hướng thả xuống",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Live",,"Trực tuyến",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Yammer",,"Yammer",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're connecting you to the broadcast",,"Chúng tôi đang kết nối bạn với hệ thống phát thanh",,"None",,"All",,"Skype Cast Attendee 2015",,""
"The broadcast wasn’t found.",,"Không tìm thấy hệ thống phát thanh.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sign Out",,"Đăng Xuất",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pulse",,"Pulse",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Click to toggle the right panel",,"Bấm để bật/tắtchuyển đổi pa-nen bên phải",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions",,"Phụ đề",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Skype for Business",,"Skype for Business",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please enable cookies in your browser settings to ensure all functionality is available.",,"Vui lòng bật cookie trong thiết đặt trình duyệt của bạn để đảm bảo mọi chức năng đều khả dụng.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"We're getting the video recording",,"Chúng tôi đang tải đoạn video ghi lại",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Join",,"Gia nhập",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Open Support link",,"Mở liên kết Hỗ trợ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Ended",,"Đã kết thúc",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Pause",,"Tạm dừng",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Privacy & cookies",,"Bảo mật & cookies",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Support",,"Hỗ trợ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Error :(",,"Lỗi :(",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Q&A",,"Hỏi đáp&S",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Please install or enable Adobe Flash Player",,"Vui lòng cài đặt hoặc bật Adobe Flash Player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Captions Off",,"Tắt chú thích",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Get Adobe Flash player",,"Tải Adobe Flash player",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Selected",,"Được chọn",,"None",,"All",,"Skype Cast Attendee 2015",,""
"An unknown error has occurred.",,"Đã xuất hiện lỗi không xác định.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting series",,"Chuỗi cuộc họp",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Anonymous User",,"Người dùng Ẩn danh",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Bottom panel tab for ",,"Tab pa-nen dưới cùng cho ",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Sorry, you’re not allowed to attend this meeting. Please contact the meeting organizer.",,"Rất tiếc, bạn không được phép tham dự cuộc họp này. Vui lòng liên hệ với người tổ chức cuộc họp.",,"None",,"All",,"Skype Cast Attendee 2015",,""
"Meeting Broadcast",,"Truyền phát Cuộc họp",,"None",,"All",,"Skype Cast Attendee 2015",,""
