PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Cancel",,"Hủy bỏ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Select an app for the right panel",,"Chọn ứng dụng cho pa-nen bên phải",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Add a start time",,"Thêm thời gian bắt đầu",,"None",,"All",,"Skype Cast Organizer 2016",,""
"This meeting’s video was published to Office 365",,"Không thể phát hành video của cuộc họp này lên Office 365",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Checking a few things. We'll get your meetings in a bit.",,"Đang kiểm tra vài thứ. Chúng tôi sẽ bắt đầu cuộc họp của bạn trong chốc lát.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Attendee page settings",,"Thiết đặt trang người dự",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Transcription and translation is enabled",,"Đã bật tính năng ghi và dịch",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The start time is later than the end time.",,"Thời gian bắt đầu trễ hơn thời gian kết thúc.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Note: captions are currently not available in full screen video",,"Lưu ý: video toàn màn hình hiện chưa có phụ đề",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create Outlook invitation",,"Tạo thư mời Outlook",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video title",,"Tên video",,"None",,"All",,"Skype Cast Organizer 2016",,""
"only attendees listed below can join the meeting",,"chỉ những người dự liệt kê bên dưới có thể gia nhập cuộc họp",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting details couldn't be retrieved.",,"Không thể truy xuất chi tiết cuộc họp.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete",,"Xóa",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Recover this meeting",,"Khôi phục cuộc họp này",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting request is empty.",,"Yêu cầu cuộc họp trống.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Create a video recording for download",,"Tạo một đoạn ghi video để tải xuống",,"None",,"All",,"Skype Cast Organizer 2016",,""
"BroadcastMeeting.ics",,"BroadcastMeeting.ics",,"None",,"All",,"Skype Cast Organizer 2016",,""
"View published video",,"Xem video đã phát hành",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Edit meeting details",,"Sửa chi tiết cuộc họp",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have any meetings this month.",,"Bạn không có cuộc họp nào trong tháng này.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Delete this meeting?",,"Xóa cuộc họp này?",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The attendee is empty",,"Người dùng trống",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You don't have permission to create meetings",,"Bạn không có quyền tạo cuộc họp",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Video recording was enabled",,"Tính năng ghi video đã được bật",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The support code couldn't be created.",,"Không thể tạo mã hỗ trợ.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"No custom link",,"Không có liên kết tùy chỉnh",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Done",,"Xong",,"None",,"All",,"Skype Cast Organizer 2016",,""
"are already in the event team",,"đã có trong nhóm sự kiện",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Give attendees access to content related to this meeting or provide contact links.",,"Trao cho người dự quyền truy nhập vào nội dung liên quan đến cuộc họp này hoặc cung cấp kết nối liên hệ.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The account information wasn't found.",,"Không tìm thấy thông tin tài khoản.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Empty ETag",,"ETag trống",,"None",,"All",,"Skype Cast Organizer 2016",,""
"One or more event team member' email addresses are empty",,"Một hoặc nhiều địa chỉ email thành viên nhóm của sự kiện trống",,"None",,"All",,"Skype Cast Organizer 2016",,""
"We have exciting news--our production environment is ready for new broadcasts! ",,"Chúng tôi có tin hấp dẫn đây--môi trường sản xuất của chúng tôi đã sẵn sàng cho việc truyền phát mới! ",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Reports",,"Báo cáo",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Couldn't find:",,"Không thể tìm thấy:",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Access",,"Truy nhập",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Right panel app",,"Ứng dụng trên pa-nen bên phải",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Not started",,"Chưa bắt đầu",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Getting the link to the meeting recording...",,"Đang lấy liên kết đến video ghi lại cuộc họp...",,"None",,"All",,"Skype Cast Organizer 2016",,""
"You can customize the attendee page to include audience participation apps and add supporting links.",,"Bạn có thể tùy chỉnh trang của người dự để đưa vào các ứng dụng tham gia dành cho người dự và thêm liên kết bổ sung.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"The meeting name is too long. Please shorten it.",,"Tên cuộc họp quá dài. Vui lòng rút ngắn.",,"None",,"All",,"Skype Cast Organizer 2016",,""
"email or alias of each event team member",,"email hoặc biệt danh của từng thành viên của nhóm sự kiện",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec",,"Thg1,Thg2,Thg3,Thg4,Thg5,Thg6,Thg7,Thg8,Thg9,Thg10,Thg11,Thg12",,"None",,"All",,"Skype Cast Organizer 2016",,""
"Pulse ID",,"ID của Pulse",,"None",,"All",,"Skype Cast Organizer 2016",,""
"appears below the video player.",,"xuất hiện dưới trình phát video.",,"None",,"All",,"Skype Cast Organizer 2016",,""
