PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"a month",,"một tháng",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a minute",,"một phút",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d months",,"%d tháng",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d minutes",,"%d phút",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a day",,"một ngày",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d days",,"%d ngày",,"None",,"All",,"Skype Cast Q&A 2016",,""
"in %s",,"trong %s",,"None",,"All",,"Skype Cast Q&A 2016",,""
"an hour",,"một giờ",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d hours",,"%d giờ",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%s ago",,"%s trước",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a few seconds",,"vài giây",,"None",,"All",,"Skype Cast Q&A 2016",,""
"a year",,"một năm",,"None",,"All",,"Skype Cast Q&A 2016",,""
"%d years",,"%d năm",,"None",,"All",,"Skype Cast Q&A 2016",,""
"We are unable to authorize you for this Q&A. Kindly logout and login again with the correct account.",,"Chúng tôi không thể ủy quyền để bạn truy cập vào mục Q&A này. Vui lòng đăng xuất rồi đăng nhập lại bằng tài khoản thích hợp.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unable to find the Q&A.",,"Không thể tìm thấy mục Q&A.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add an answer",,"thêm câu trả lời",,"None",,"All",,"Skype Cast Q&A 2016",,""
"all",,"tất cả",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announce",,"công bố",,"None",,"All",,"Skype Cast Q&A 2016",,""
"anonymous user",,"người dùng ẩn danh",,"None",,"All",,"Skype Cast Q&A 2016",,""
"announcement",,"thông báo",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message sent.",,"đã gửi tin nhắn.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question added.",,"câu hỏi đã được thêm.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"question broadcasted.",,"câu hỏi đã được truyền phát.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"answer.",,"câu trả lời.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"response added.",,"câu trả lời đã được thêm.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"total question count.",,"tổng số câu hỏi.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread question count.",,"số câu hỏi chưa đọc.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"this message was broadcasted",,"tin nhắn này đã được truyền phát",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Question from {0}",,"Câu hỏi từ {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply from {0}",,"câu trả lời từ {0}",,"None",,"All",,"Skype Cast Q&A 2016",,""
"tabs",,"tab",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask",,"hỏi",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask anonymously",,"đặt câu hỏi dưới dạng ẩn danh",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask as",,"đặt câu hỏi dưới dạng",,"None",,"All",,"Skype Cast Q&A 2016",,""
"broadcast",,"truyền phát",,"None",,"All",,"Skype Cast Q&A 2016",,""
"message to broadcast",,"tin nhắn để truyền phát",,"None",,"All",,"Skype Cast Q&A 2016",,""
"add the response",,"thêm phản hồi",,"None",,"All",,"Skype Cast Q&A 2016",,""
"cancel",,"hủy bỏ",,"None",,"All",,"Skype Cast Q&A 2016",,""
"close qna",,"đóng hỏi đáp",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this announcement?",,"Bạn có chắc muốn xóa thông báo này không?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Announcement",,"Xóa thông báo",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Are you sure you want to delete this post?",,"Bạn có chắc muốn xóa bài đăng này không?",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Delete Post",,"Xóa bài đăng",,"None",,"All",,"Skype Cast Q&A 2016",,""
"delete",,"xóa",,"None",,"All",,"Skype Cast Q&A 2016",,""
"edited by a moderator",,"được sửa bởi người điều phối",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Unexpected error. Please reload the page to access Q&A.",,"Lỗi bất ngờ. Vui lòng tải lại trang để truy cập mục Q&A.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"hide read",,"ẩn đã đọc",,"None",,"All",,"Skype Cast Q&A 2016",,""
"include user name",,"bao gồm tên người dùng",,"None",,"All",,"Skype Cast Q&A 2016",,""
"false",,"false",,"None",,"All",,"Skype Cast Q&A 2016",,""
"en-US",,"vi-vn",,"None",,"All",,"Skype Cast Q&A 2016",,""
"mark read",,"đánh dấu là đã đọc",,"None",,"All",,"Skype Cast Q&A 2016",,""
"mark unread",,"đánh dấu là chưa đọc",,"None",,"All",,"Skype Cast Q&A 2016",,""
"The meeting has not started yet.",,"Cuộc họp chưa được bắt đầu.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"moderator",,"người điều hành",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Multiple moderators are replying to this post...",,"Nhiều người điều phối đang trả lời bài đăng này...",,"None",,"All",,"Skype Cast Q&A 2016",,""
"my questions",,"câu hỏi của tôi",,"None",,"All",,"Skype Cast Q&A 2016",,""
"your name (optional)",,"tên bạn (tùy chọn)",,"None",,"All",,"Skype Cast Q&A 2016",,""
"ask a question",,"đặt câu hỏi",,"None",,"All",,"Skype Cast Q&A 2016",,""
"open qna",,"mở hỏi đáp",,"None",,"All",,"Skype Cast Q&A 2016",,""
"This Q&A is currently closed.",,"Mục Q&A hiện đang đóng.",,"None",,"All",,"Skype Cast Q&A 2016",,""
"The connection to the server is lost. Trying to reconnect...",,"Mất kết nối với máy chủ. Đang kết nối lại...",,"None",,"All",,"Skype Cast Q&A 2016",,""
"reply",,"trả lời",,"None",,"All",,"Skype Cast Q&A 2016",,""
"send",,"gửi",,"None",,"All",,"Skype Cast Q&A 2016",,""
"show read",,"hiện đã đọc",,"None",,"All",,"Skype Cast Q&A 2016",,""
"Skype Q&A",,"Skype Q&A",,"None",,"All",,"Skype Cast Q&A 2016",,""
"top",,"hàng đầu",,"None",,"All",,"Skype Cast Q&A 2016",,""
"unread",,"chưa đọc",,"None",,"All",,"Skype Cast Q&A 2016",,""
"{0} is replying to this post...",,"{0} đang trả lời bài đăng này...",,"None",,"All",,"Skype Cast Q&A 2016",,""
