PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Chat",,"Trò chuyện",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This message has been edited.",,"Tin nhắn này đã được chỉnh sửa.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Go to {0} team,  {1} channel",,"Đi tới nhóm {0},  kênh {1}",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Channel was mentioned",,"Kênh đã được đề cập",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Team was mentioned",,"Nhóm đã được đề cập",,"Text",,"All",,"SkypeSpaces - iOS",,""
"You were mentioned",,"Bạn đã được đề cập",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message copied",,"Đã sao chép tin nhắn",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message deleted",,"Đã xóa tin nhắn",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message liked",,"Tin nhắn được thích",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Message unliked",,"Tin nhắn bị bỏ thích",,"Text",,"All",,"SkypeSpaces - iOS",,""
"This user has been muted.",,"Người dùng này đã bị tắt tiếng.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User muted",,"Đã tắt tiếng người dùng",,"Text",,"All",,"SkypeSpaces - iOS",,""
"User unmuted",,"Đã bật tiếng người dùng",,"Text",,"All",,"SkypeSpaces - iOS",,""
"email",,"email",,"Text",,"All",,"SkypeSpaces - iOS",,""
"password",,"mật khẩu",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in",,"Đăng nhập",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign In Error",,"Lỗi đăng nhập",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign in to get started.",,"Hãy đăng nhập để bắt đầu.",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Sign out",,"Đăng xuất",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Are you sure you want to sign out?",,"Bạn có chắc chắn muốn đăng xuất không?",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing in...",,"Đang đăng nhập...",,"Text",,"All",,"SkypeSpaces - iOS",,""
"Signing out...",,"Đang đăng xuất...",,"Text",,"All",,"SkypeSpaces - iOS",,""
