PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Oops page showing due to debug flag",,"Có lỗi khi hiển thị trang do cờ gỡ lỗi",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Get our Win32 app.",,"Chúng tôi sẽ ngừng cung cấp ứng dụng này vào ngày 29 tháng 11 năm 2018. Hãy tải ứng dụng Win32.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We will be retiring this app on Nov 29, 2018. Please bookmark our Web App and continue using Teams.",,"Chúng tôi sẽ ngừng cung cấp ứng dụng này vào ngày 29 tháng 11 năm 2018. Vui lòng đánh dấu Ứng dụng web của chúng tôi và tiếp tục sử dụng Teams.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Download now!",,"Tải xuống ngay!",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Go to Web App!",,"Chuyển đến Ứng dụng web!",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"D'oh! Something went wrong...",,"Rất tiếc! Đã xảy ra sự cố...",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your app has been successfully updated to version {0} on {1}.",,"Đã cập nhật thành công ứng dụng của bạn lên phiên bản {0} vào {1}.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App Updated",,"Đã cập nhật ứng dụng",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Could not connect to Account Provider. Please check your connection and try again.",,"Không thể kết nối với Nhà cung cấp tài khoản. Vui lòng kiểm tra kết nối của bạn rồi thử lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Unexpected user credentials. Please try to log in again.",,"Thông tin xác thực người dùng không chính xác. Hãy cố gắng đăng nhập lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The token received is not valid. Please try again later.",,"Mã thông báo đã nhận không hợp lệ. Vui lòng thử lại sau.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an app state issue. Please try again.",,"Không thể hoàn tất xác thực do sự cố về trạng thái ứng dụng. Vui lòng thử lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication Error",,"Lỗi xác thực",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Received an expired authentication token. Please try to log in again.",,"Đã nhận được mã thông báo xác thực hết hạn. Hãy cố gắng đăng nhập lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Intended authentication failure due to user setting.",,"Không xác thực được theo dự tính do cài đặt của người dùng.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"App is missing important authentication settings. Please make sure to use the latest version.",,"Ứng dụng thiếu cài đặt xác thực quan trọng. Hãy đảm bảo rằng bạn đang sử dụng phiên bản mới nhất.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"The Account Provider encountered an error while authenticating.",,"Nhà cung cấp tài khoản đã gặp sự cố khi xác thực.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Your connection is not reliable enough to authenticate. Please check your connection including any VPNs and try again.",,"Kết nối của bạn chưa đủ tin cậy để xác thực. Vui lòng kiểm tra kết nối của bạn bao gồm mọi VPN và thử lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Requested a silent authentication token, but prompt is required. Please try to log in again.",,"Bạn đã yêu cầu mã thông báo xác thực tĩnh nhưng chúng tôi buộc phải hiển thị lời nhắc. Hãy cố gắng đăng nhập lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication could not be completed due to an issue while the app was resuming. Please try again.",,"Không thể hoàn tất xác thực do xảy ra sự cố trong khi ứng dụng đang bắt đầu lại. Vui lòng thử lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication request was canceled. Please try to log in again.",,"Đã hủy yêu cầu xác thực. Hãy cố gắng đăng nhập lại.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Web Account Manager failed to authenticate.",,"Trình quản lý tài khoản web không xác thực được.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Authentication was blocked by Windows Information Protection policy. For more information, contact your system administrator.",,"Xác thực đã bị chặn theo chính sách Windows Information Protection. Để biết thêm thông tin, hãy liên hệ với quản trị viên hệ thống của bạn.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications being displayed only when the call is active (focused).",,"Cần có hoạt động nền để nhận thông báo về cuộc gọi và IM. Việc từ chối yêu cầu này sẽ khiến thông báo chỉ được hiển thị khi cuộc gọi đang hoạt động (ưu tiên).",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"Background activity is required to receive notifications about calls and IMs. Rejecting this request will result in notifications not being displayed when the device is low on battery.",,"Cần có hoạt động nền để nhận thông báo về cuộc gọi và IM. Việc từ chối yêu cầu này sẽ khiến thông báo không được hiển thị khi thiết bị yếu pin.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"For the best experience, please allow Microsoft Teams to run as a background app. Click here to toggle this setting on.",,"Để có trải nghiệm tốt nhất, hãy cho phép Microsoft Teams chạy dưới dạng ứng dụng nền. Bấm vào đây để bật cài đặt này.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
"We need your help.",,"Chúng tôi cần sự trợ giúp của bạn.",,"Text",,"All",,"Skype Spaces for MAC 2016",,""
