PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"About Skype TX",,"Giới thiệu về Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Switch user",,"Chuyển đổi người dùng",,"Button",,"All",,"Skype TX Client V2",,""
"My Account online",,"Tài khoản của Tôi trực tuyến",,"Button",,"All",,"Skype TX Client V2",,""
"Exit Skype TX",,"Thoát Skype TX",,"Button",,"All",,"Skype TX Client V2",,""
"Sign in with saved user credentials",,"Đăng nhập bằng thông tin xác thực người dùng đã lưu",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove user and forget saved credentials",,"Xóa người dùng và quên thông tin xác thực đã lưu",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Main Menu",,"Menu Chính",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Sign in with a different username and password",,"Đăng nhập bằng tên người dùng và mật khẩu khác",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"For more information about",,"Để biết thêm thông tin về",,"Text",,"All",,"Skype TX Client V2",,""
"using Skype in Media visit",,"sử dụng Skype in Media, hãy truy cập",,"Text",,"All",,"Skype TX Client V2",,""
"media.skype.com",,"media.skype.com",,"Text",,"All",,"Skype TX Client V2",,""
"Broadcast Terms of Service",,"Điều khoản Dịch vụ Truyền phát",,"Text",,"All",,"Skype TX Client V2",,""
"Privacy Statement",,"Điều khoản về Quyền riêng tư",,"Text",,"All",,"Skype TX Client V2",,""
"Find out more about Skype in Media",,"Tìm hiểu thêm về Skype in Media",,"Text",,"All",,"Skype TX Client V2",,""
"Heartbeat (Skype Status)",,"Xúc động (Trạng thái trên Skype)",,"Text",,"All",,"Skype TX Client V2",,""
"View Privacy Statement",,"Xem Điều khoản về Quyền riêng tư",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_10"">Skype TX is a specialized application for the broadcast industry and does not contain the full set of features provided by Skype. For full Skype functionality, please download the latest version at</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,""<run Uid=""Run_10"">Skype TX là một ứng dụng dành riêng cho lĩnh vực truyền phát và không có đủ các tính năng do Skype cung cấp. Để trải nghiệm đầy đủ các tính năng của Skype, hãy tải xuống phiên bản mới nhất tại</run> <a Uid=""Hyperlink_5""><run Uid=""Run_11""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,""<a Uid=""Hyperlink_4""><run Uid=""Run_9""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Start Over",,"Bắt đầu lại",,"Text",,"All",,"Skype TX Client V2",,""
"Choose an account to sign in:",,"Chọn một tài khoản để đăng nhập:",,"Text",,"All",,"Skype TX Client V2",,""
"Other user...",,"Người dùng khác...",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,""<a Uid=""Hyperlink_2""><run Uid=""Run_7""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,""<a Uid=""HyperlinkPrivacy""><run Uid=""Run_5""></run></a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Signing in to Skype...",,"Đang đăng nhập vào Skype...",,"Text",,"All",,"Skype TX Client V2",,""
"© Microsoft 2015-2018",,"© Microsoft 2015-2018",,"Text",,"All",,"Skype TX Client V2",,""
"Configuration",,"Cấu hình",,"Text",,"All",,"Skype TX Client V2",,""
"Channel View",,"Xem Kênh",,"Text",,"All",,"Skype TX Client V2",,""
"Full",,"Đầy",,"Text",,"All",,"Skype TX Client V2",,""
"Compact",,"Nén",,"Text",,"All",,"Skype TX Client V2",,""
"End User License Agreement",,"Thỏa thuận Cấp phép cho Người dùng Cuối",,"Button",,"All",,"Skype TX Client V2",,""
"Return to About SkypeTX screen",,"Trở về màn hình Giới thiệu về SkypeTX",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Version",,"Phiên bản",,"Text",,"All",,"Skype TX Client V2",,""
"Review EULA",,"Xem lại EULA",,"Text",,"All",,"Skype TX Client V2",,""
"© 2015-2018 Skype and/or Microsoft",,"© 2015-2018 Skype và/hoặc Microsoft",,"Text",,"All",,"Skype TX Client V2",,""
"The Skype name and Skype TX name, associated trademarks, logos and &apos;S&apos; logo are trademarks of Skype or related entities.",,""Tên Skype và tên Skype TX, các thương hiệu liên kết, logo và logo ""S"" là các thương hiệu của Skype hoặc các công ty liên quan."",,"Text",,"All",,"Skype TX Client V2",,""
"Warning: This program is protected by copyright law and international treaties. Unauthorized reproduction or distribution of this program, or any portions of it, may result in severe civil and criminal penalties and will be prosecuted to the maximum extent possible under the law.",,"Cảnh báo: Chương trình này được bảo vệ bởi luật bản quyền và các công ước quốc tế. Việc phân phối hoặc sản xuất lại bất hợp pháp chương trình, hay bất kỳ phần nào của chương trình, sẽ phải chịu hình phạt hình sự và dân sự và sẽ bị truy tố ở mức cao nhất có thể trước pháp luật.",,"Text",,"All",,"Skype TX Client V2",,""
"Clear Selection",,"Xóa lựa chọn",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Select action for selected contact(s)",,"Chọn thao tác cho liên hệ đã chọn",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove selected contact(s)",,"Xóa liên hệ đã chọn",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Remove",,"Xóa",,"Text",,"All",,"Skype TX Client V2",,""
"selected",,"đã chọn",,"Text",,"All",,"Skype TX Client V2",,""
"Logo Enabled",,"Bật Logo",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Clock",,"Hiện Đồng hồ",,"Check Box",,"All",,"Skype TX Client V2",,""
"Show Logo",,"Hiện Logo",,"Check Box",,"All",,"Skype TX Client V2",,""
"Copy information to clipboard",,"Sao chép thông tin vào bảng tạm",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Disable all Skype audio processing.",,"Đang xử lý việc tắt tất cả âm thanh Skype.",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 9x16 input aspect ratio:  -1 = Left ... 1 = Right",,"Đặt vị trí logo theo chiều ngang đối với tỷ lệ khung hình 3x4:  -1 = Trái ... 1 = Phải",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 9x16 input aspect ratio: -1 = Top ... 1 = Bottom",,"Đặt vị trí logo theo chiều dọc đối với tỷ lệ khung hình 9x16: -1 = Đỉnh ... 1 = Đáy",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 3x4 input aspect ratio:  -1 = Left ... 1 = Right",,"Đặt vị trí logo theo chiều ngang đối với tỷ lệ khung hình 3x4:  -1 = Trái ... 1 = Phải",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 3x4 input aspect ratio: -1 = Top ... 1 = Bottom",,"Đặt vị trí logo theo chiều dọc đối với tỷ lệ khung hình 3x4: -1 = Đỉnh ... 1 = Đáy",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 4x3 input aspect ratio:  -1 = Left ... 1 = Right",,"Đặt vị trí logo theo chiều ngang đối với tỷ lệ khung hình 4x3:  -1 = Trái ... 1 = Phải",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 4x3 input aspect ratio: -1 = Top ... 1 = Bottom",,"Đặt vị trí logo theo chiều dọc đối với tỷ lệ khung hình 4x3: -1 = Đỉnh ... 1 = Đáy",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the horizontal position of the logo for 16x9 input aspect ratio:  -1 = Left ... 1 = Right",,"Đặt vị trí logo theo chiều ngang đối với tỷ lệ khung hình 16x9:  -1 = Trái ... 1 = Phải",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the vertical position of the logo for 16x9 input aspect ratio: -1 = Top ... 1 = Bottom",,"Đặt vị trí logo theo chiều dọc đối với tỷ lệ khung hình 16x9: -1 = Đỉnh ... 1 = Đáy",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show the System time with frame count",,"Hiện thời gian Hệ thống kèm tính khung hình",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show the animated Skype logo when not on a call",,"Hiện logo Skype động khi không có cuộc gọi",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show a solid color",,"Hiện một màu đồng nhất khi không gọi",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to always fit within the height of the output resolution",,"Đổi cỡ video đến để luôn khớp với chiều cao độ phân giải đầu ra",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show the &apos;NoCall&apos; still",,""Khi không có cuộc gọi, hãy hiện ảnh tĩnh ""NoCall"""",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to ensure that the output resolution is always filled",,"Đổi cỡ video đến để đảm bảo độ phân giải đầu ra luôn được lấp đầy",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to always fit within the height of the output resolution",,"Đổi cỡ Video đến để luôn khớp với chiều cao độ phân giải đầu ra",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to always fit within the width of the output resolution",,"Đổi cỡ Video đến để luôn khớp với chiều rộng độ phân giải đầu ra",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Incoming video is resized to ensure that the output resolution is always filled",,"Đổi cỡ video đến để đảm bảo rằng độ phân giải đầu ra luôn được lấp đầy",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"When not on a call, show the test signal",,"Khi không có cuộc gọi, hãy hiện tín hiệu kiểm tra",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show more Channel details",,"Hiện thêm chi tiết Kênh",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show settings relating to the unit&apos;s audio",,"Hiện các cài đặt liên quan đến âm thanh của ứng dụng",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Show settings relating to the unit&apos;s video output",,"Hiện cài đặt liên quan đến đầu ra video của ứng dụng",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set whether the output video from the unit always shows the Skype watermark",,"Đặt video phát ra từ ứng dụng có luôn hiện hình nền mờ Skype không",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set the position of the Skype watermark",,"Đặt vị trí hình nền mờ Skype",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set what Skype TX does when the output aspect ratio is different from the received Skype video",,"Đặt các hoạt động Skype TX sẽ thực hiện khi tỷ lệ khung hình đầu ra khác với video nhận được trên Skype",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Set what Skype TX does when the output aspect ratio is different from the received Skype video",,"Đặt các hoạt động của Skype TX khi tỷ lệ khung hình đầu ra khác với video nhận được trên Skype",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Output resolution",,"Độ phân giải đầu ra",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Information",,"Thông tin",,"Text",,"All",,"Skype TX Client V2",,""
"Audio",,"Âm thanh",,"Text",,"All",,"Skype TX Client V2",,""
"Video Output",,"Đầu ra Video",,"Text",,"All",,"Skype TX Client V2",,""
"Copy",,"Sao chép",,"Text",,"All",,"Skype TX Client V2",,""
""<run Uid=""Run_1"">You must adhere to the</run><br Uid=""LineBreak_1""></br><a Uid=""Hyperlink_1"">broadcast terms of service</a>"",,""<run Uid=""Run_1"">Bạn phải tuân thủ</run><br Uid=""LineBreak_1""></br><a Uid=""Hyperlink_1"">điều khoản dịch vụ truyền phát</a>"",,"Text",,"All",,"Skype TX Client V2",,""
"GenLock Status",,"Trạng thái GenLock",,"Text",,"All",,"Skype TX Client V2",,""
"Skype Logo",,"Logo Skype",,"Text",,"All",,"Skype TX Client V2",,""
"Skype Logo Position",,"Vị trí logo của Skype",,"Text",,"All",,"Skype TX Client V2",,""
"Disable all Skype audio processing",,"Đang xử lý việc tắt tất cả âm thanh Skype",,"Text",,"All",,"Skype TX Client V2",,""
"X",,"X",,"Text",,"All",,"Skype TX Client V2",,""
"Y",,"Y",,"Text",,"All",,"Skype TX Client V2",,""
"Aspect Ratio Control",,"Kiểm soát Tỷ lệ Khung hình",,"Text",,"All",,"Skype TX Client V2",,""
"9x16",,"9x16",,"Text",,"All",,"Skype TX Client V2",,""
"3x4",,"3x4",,"Text",,"All",,"Skype TX Client V2",,""
"Aspect Ratio Control",,"Kiểm soát Tỷ lệ Khung hình",,"Text",,"All",,"Skype TX Client V2",,""
"4x3",,"4x3",,"Text",,"All",,"Skype TX Client V2",,""
"16x9",,"16x9",,"Text",,"All",,"Skype TX Client V2",,""
"Output Resolution",,"Độ phân giải đầu ra",,"Text",,"All",,"Skype TX Client V2",,""
"When not on call",,"Khi không có cuộc gọi",,"Text",,"All",,"Skype TX Client V2",,""
"NTSC (480i)",,"NTSC (480i)",,"Text",,"All",,"Skype TX Client V2",,""
"PAL (625i)",,"PAL (625i)",,"Text",,"All",,"Skype TX Client V2",,""
"Clear Search",,"Xóa Tìm Kiếm",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Close update notification",,"Đóng thông báo cập nhật",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Disable incoming calls - all incoming calls that are not automatically answered will be rejected",,"Tắt cuộc gọi đến - tất cả cuộc gọi đến không được tự động trả lời sẽ bị từ chối",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Enable incoming calls for all callers",,"Bật cuộc gọi đến đối với tất cả người gọi",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Reject incoming calls from unknown callers if not automatically answered",,"Từ chối cuộc gọi đến từ người gọi không xác định nếu chưa được tự động trả lời",,"Tool Tip",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_1"">Create an invitation</a>"",,""<a Uid=""Hyperlink_1"">Tạo lời mời</a>"",,"Text",,"All",,"Skype TX Client V2",,""
""<a Uid=""Hyperlink_2"">Copy to clipboard</a>"",,""<a Uid=""Hyperlink_2"">Sao chép vào bảng tạm</a>"",,"Text",,"All",,"Skype TX Client V2",,""
"Search for Contacts",,"Tìm kiếm Danh bạ",,"Text",,"All",,"Skype TX Client V2",,""
"Invite someone to Skype by sending them this link even if they are not on Skype.",,"Mời ai đó sử dụng Skype bằng cách gửi cho họ liên kết này ngay cả khi họ không có trên Skype.",,"Text",,"All",,"Skype TX Client V2",,""
"No Incoming Calls",,"Không có Cuộc gọi Đến",,"Text",,"All",,"Skype TX Client V2",,""
"Incoming calls will appear here",,"Cuộc gọi đến sẽ xuất hiện ở đây",,"Text",,"All",,"Skype TX Client V2",,""
"When an incoming call is not answered by any of the channels automatically:",,"Khi cuộc gọi đến không được bất kỳ kênh nào tự động trả lời:",,"Text",,"All",,"Skype TX Client V2",,""
"Allow calls from anyone",,"Cho phép cuộc gọi từ bất kỳ ai",,"Text",,"All",,"Skype TX Client V2",,""
"Allow calls from people in my Contact list only",,"Chỉ cho phép cuộc gọi từ những người trong Danh bạ của tôi",,"Text",,"All",,"Skype TX Client V2",,""
"Do not allow incoming calls",,"Không cho phép cuộc gọi đến",,"Text",,"All",,"Skype TX Client V2",,""
"Send an invitation",,"Gửi lời mời",,"Text",,"All",,"Skype TX Client V2",,""
"No Contacts",,"Không có Danh bạ",,"Text",,"All",,"Skype TX Client V2",,""
"OK - Save Changes and Close",,"OK - Lưu Thay đổi và Đóng",,"Tool Tip",,"All",,"Skype TX Client V2",,""
"Display Name",,"Tên Hiển thị",,"Text",,"All",,"Skype TX Client V2",,""
"Designation/Location",,"Tên gọi/Vị trí",,"Text",,"All",,"Skype TX Client V2",,""
"Notes",,"Ghi chú",,"Text",,"All",,"Skype TX Client V2",,""
