PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Launching Skype for Business Client",,"Đang khởi chạy Skype for Business Client",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We couldn’t connect you to the event. This may be temporary. Please check with your event organizer if this continues to happen.",,"Chúng tôi không thể kết nối bạn tới sự kiện. Đây có thể là lỗi tạm thời. Vui lòng kiểm tra với người tổ chức sự kiện của bạn nếu lỗi này tiếp tục xảy ra.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"to manage the event",,"để quản lý sự kiện ",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join Meeting",,"Gia nhập Cuộc họp",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"The link you are using to join the event isn’t valid. Please check with your event organizer.",,"Kết nối bạn đang dùng để gia nhập sự kiện không hợp lệ. Vui lòng kiểm tra với người tổ chức sự kiện.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Invalid Name or Email address",,"Địa chỉ email hoặc tên không hợp lệ",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join The Meeting",,"Tham gia cuộc họp",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Microsoft Corporation. All rights reserved.",,"Microsoft Corporation. Bảo lưu mọi quyền.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble helping you join as Event team member.",,"Chúng tôi đang gặp vấn đề trong việc giúp bạn gia nhập với tư cách thành viên nhóm Sự kiện.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"We are having trouble activating broadcast meeting.",,"Chúng tôi đang gặp vấn đề trong việc kích hoạt cuộc họp truyền phát.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Join the event",,"Gia nhập sự kiện",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Open the event dashboard",,"Mở bảng điều khiển sự kiện",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"if you don't have Skype for Business installed",,"nếu bạn không cài đặt Skype for Business",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"English",,"Tiếng Việt",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Sorry, you don't have permission to join the meeting as event team member. Please request access from the meeting organizer or sign in using a different account.",,"Rất tiếc, bạn không được phép gia nhập cuộc họp này với tư cách là thành viên nhóm sự kiện. Vui lòng yêu cầu quyền truy nhập từ người tổ chức cuộc họp hoặc đăng nhập bằng một tài khoản khác.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"Have you successfully launched the app? Feel free to close this page.",,"Bạn đã chạy thành công ứng dụng không? Bạn có thể đóng trang này.",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
"You're about to join the meeting ${meetingName} as a guest",,"Bạn sắp tham gia cuộc họp ${meetingName} với tư cách là khách",,"None",,"All",,"Skypecast Scheduling and Data Services",,""
