PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"In Progress",,"Đang thực hiện",,"None",,"All",,"Skype for Business for iOS",,""
"No thanks, continue to calendar",,"Không, cảm ơn. Tiếp tục đến lịch",,"None",,"All",,"Skype for Business for iOS",,""
"Get Outlook for iOS",,"Tải Outlook for iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Outlook for iOS",,"Outlook for iOS",,"None",,"All",,"Skype for Business for iOS",,""
"Use Outlook to access all your Skype Meetings with just a tap",,"Sử dụng Outlook để truy cập mọi Cuộc họp Skype chỉ với một lần chạm",,"None",,"All",,"Skype for Business for iOS",,""
"days",,"ngày",,"None",,"All",,"Skype for Business for iOS",,""
"day",,"ngày",,"None",,"All",,"Skype for Business for iOS",,""
"hours",,"giờ",,"None",,"All",,"Skype for Business for iOS",,""
"hour",,"giờ",,"None",,"All",,"Skype for Business for iOS",,""
"minutes",,"phút",,"None",,"All",,"Skype for Business for iOS",,""
"minute",,"phút",,"None",,"All",,"Skype for Business for iOS",,""
"seconds",,"giây",,"None",,"All",,"Skype for Business for iOS",,""
"second",,"giây",,"None",,"All",,"Skype for Business for iOS",,""
